Cluster,ClusterLabel,Exemplar,Member,VariableType,Gene,Location,Measure,MeasureType,FeatureSet,MeanAbsSHAP,X,Y,Exemplar_X,Exemplar_Y
13,14,GenomicDensity_ISG_GAA.Bias_Coding,GenomicDensity_ISG_GAA.Bias_Coding,GenomicDensity,ISG,Coding,GAA.Bias,Codon bias,Similarity to ISGs,0.07978316237589593,-0.0132663362126608,-0.045514401342656156,-0.0132663362126608,-0.045514401342656156
30,18,GenomicDensity_ISG_NonBrApG_Coding,VirusDirect_L.Bias_Coding,VirusDirect,NA,Coding,L.Bias,Amino acid bias,Viral genomic features,0.07982062146292192,-7.790246908154207e-6,-0.26077985853713015,-0.4452354204688484,-0.19724792788560863
29,10,VirusDirect_GCG.Bias_Coding,VirusDirect_GCG.Bias_Coding,VirusDirect,NA,Coding,GCG.Bias,Codon bias,Viral genomic features,0.08035635992863507,-0.5990956279148865,0.10006208161363725,-0.5990956279148865,0.10006208161363725
7,12,GenomicDensity_ISG_CTT.Bias_Coding,GenomicDensity_ISG_CTT.Bias_Coding,GenomicDensity,ISG,Coding,CTT.Bias,Codon bias,Similarity to ISGs,0.08207450324220569,0.06201124745837221,-0.35575373665544124,0.06201124745837221,-0.35575373665544124
18,6,GenomicDensity_Housekeeping_CpC_Coding,GenomicDensity_Housekeeping_CpC_Coding,GenomicDensity,Housekeeping,Coding,CpC,Dinucleotide bias,Similarity to housekeeping genes,0.0836538261845034,0.015999382065302922,-0.17100822005597469,0.015999382065302922,-0.17100822005597469
20,26,GenomicDensity_Housekeeping_L.Bias_Coding,GenomicDensity_ISG_L.Bias_Coding,GenomicDensity,ISG,Coding,L.Bias,Amino acid bias,Similarity to ISGs,0.08367161811817525,0.08566462376910954,0.03772657542052057,0.13510139791335324,0.1494602049221933
21,25,GenomicDensity_Remaining_CGA.Bias_Coding,GenomicDensity_Remaining_CGA.Bias_Coding,GenomicDensity,Remaining,Coding,CGA.Bias,Codon bias,Similarity to remaining genes,0.08444013964587875,0.0016125241496781077,0.14980917836319207,0.0016125241496781077,0.14980917836319207
27,1,GenomicDensity_Housekeeping_CTG.Bias_Coding,GenomicDensity_ISG_AGT.Bias_Coding,GenomicDensity,ISG,Coding,AGT.Bias,Codon bias,Similarity to ISGs,0.08623879176243704,-0.09616131839106246,-0.11602974944259034,-0.6217812981788006,-0.13096960315366163
22,2,GenomicDensity_Remaining_brUpC_Coding,VirusDirect_GGC.Bias_Coding,VirusDirect,NA,Coding,GGC.Bias,Codon bias,Viral genomic features,0.08650251544609544,-0.6455844938685195,0.4810860912019307,-0.3140806280615704,0.5489446486673487
12,16,GenomicDensity_Housekeeping_CGC.Bias_Coding,GenomicDensity_ISG_CGC.Bias_Coding,GenomicDensity,ISG,Coding,CGC.Bias,Codon bias,Similarity to ISGs,0.08875705503402534,0.4120691555683401,-0.13951987508411892,0.43222733085027026,-0.1574879613665219
16,24,GenomicDensity_Housekeeping_S.Bias_Coding,GenomicDensity_Housekeeping_S.Bias_Coding,GenomicDensity,Housekeeping,Coding,S.Bias,Amino acid bias,Similarity to housekeeping genes,0.08952269650876032,0.0157678740326995,0.5204859511046404,0.0157678740326995,0.5204859511046404
17,22,GenomicDensity_Housekeeping_NonBrApU_Coding,GenomicDensity_Housekeeping_NonBrApU_Coding,GenomicDensity,Housekeeping,Coding,NonBrApU,Non-bridge dinucleotide bias,Similarity to housekeeping genes,0.0922388203660181,0.14795727262490838,0.23427896784141955,0.14795727262490838,0.23427896784141955
1,5,GenomicDensity_ISG_NonBrUpC_Coding,GenomicDensity_Housekeeping_brGpA_Coding,GenomicDensity,Housekeeping,Coding,brGpA,Bridge dinucleotide bias,Similarity to housekeeping genes,0.0930565041800598,-0.16551726145292892,-0.2857771701735966,0.05738285799003923,-0.1125445936731798
1,5,GenomicDensity_ISG_NonBrUpC_Coding,GenomicDensity_Housekeeping_GTC.Bias_Coding,GenomicDensity,Housekeeping,Coding,GTC.Bias,Codon bias,Similarity to housekeeping genes,0.09330963016249641,0.2987897916290903,-0.0959148952296092,0.05738285799003923,-0.1125445936731798
18,6,GenomicDensity_Housekeeping_CpC_Coding,GenomicDensity_ISG_TAG.Bias_Coding,GenomicDensity,ISG,Coding,TAG.Bias,Codon bias,Similarity to ISGs,0.09410497972211335,0.06078555160235533,0.10555048886686418,0.015999382065302922,-0.17100822005597469
1,5,GenomicDensity_ISG_NonBrUpC_Coding,GenomicDensity_Remaining_TTC.Bias_Coding,GenomicDensity,Remaining,Coding,TTC.Bias,Codon bias,Similarity to remaining genes,0.09969295379480579,-0.08547157987877388,-0.26070741343658455,0.05738285799003923,-0.1125445936731798
29,10,VirusDirect_GCG.Bias_Coding,VirusDirect_ACG.Bias_Coding,VirusDirect,NA,Coding,ACG.Bias,Codon bias,Viral genomic features,0.09987379194050337,-0.5802157048810882,0.11562903980816117,-0.5990956279148865,0.10006208161363725
13,14,GenomicDensity_ISG_GAA.Bias_Coding,GenomicDensity_ISG_AAA.Bias_Coding,GenomicDensity,ISG,Coding,AAA.Bias,Codon bias,Similarity to ISGs,0.10092954057804608,-0.21565869110585636,0.011567445879765395,-0.0132663362126608,-0.045514401342656156
27,1,GenomicDensity_Housekeeping_CTG.Bias_Coding,GenomicDensity_Housekeeping_TCC.Bias_Coding,GenomicDensity,Housekeeping,Coding,TCC.Bias,Codon bias,Similarity to housekeeping genes,0.10200452345528248,-0.26094206149456345,-0.1035951881617639,-0.6217812981788006,-0.13096960315366163
14,9,GenomicDensity_Housekeeping_G.Bias_Coding,GenomicDensity_ISG_G.Bias_Coding,GenomicDensity,ISG,Coding,G.Bias,Amino acid bias,Similarity to ISGs,0.1123141448836169,0.12016977724451952,-0.03602185728586243,0.08854500000861532,-0.03712071627624907
7,12,GenomicDensity_ISG_CTT.Bias_Coding,GenomicDensity_Housekeeping_CTT.Bias_Coding,GenomicDensity,Housekeeping,Coding,CTT.Bias,Codon bias,Similarity to housekeeping genes,0.11233288584417572,0.06889493807089099,-0.36123714900494286,0.06201124745837221,-0.35575373665544124
22,2,GenomicDensity_Remaining_brUpC_Coding,VirusDirect_GpU_EntireSeq,VirusDirect,NA,EntireSeq,GpU,Dinucleotide bias,Viral genomic features,0.12318911014886072,-0.21532414884637238,0.7414591024297409,-0.3140806280615704,0.5489446486673487
22,2,GenomicDensity_Remaining_brUpC_Coding,GenomicDensity_Remaining_brUpC_Coding,GenomicDensity,Remaining,Coding,brUpC,Bridge dinucleotide bias,Similarity to remaining genes,0.1368418423605679,-0.3140806280615704,0.5489446486673487,-0.3140806280615704,0.5489446486673487
27,1,GenomicDensity_Housekeeping_CTG.Bias_Coding,GenomicDensity_Housekeeping_CTG.Bias_Coding,GenomicDensity,Housekeeping,Coding,CTG.Bias,Codon bias,Similarity to housekeeping genes,0.13819443258504485,-0.6217812981788006,-0.13096960315366163,-0.6217812981788006,-0.13096960315366163
