Name,Family,GenomeType,host_class,host_order,calibrated_score_mean,calibrated_score_lower,calibrated_score_upper,bagged_prediction,zoonotic_potential
Itaituba phlebovirus,Phenuiviridae,ssRNA(+/-),Mammalia,Didelphimorphia,0.4949079910508378,0.2915986090895386,0.7637734988820175,TRUE,High
Parechovirus E,Picornaviridae,ssRNA(+),Aves,Falconiformes,0.17420260435896434,0.08167856121708497,0.28468382033919487,FALSE,Low
Megrivirus D,Picornaviridae,ssRNA(+),Aves,Accipitriformes,0.3079888429768729,0.15881580897155662,0.5150047330643084,TRUE,High
Murre uukuvirus,Phenuiviridae,ssRNA(+/-),Aves,Charadriiformes,0.35023252117639586,0.1925686256595892,0.5822272160501456,TRUE,High
Crahelivirus A,Picornaviridae,ssRNA(+),Aves,Gruiformes,0.29808640679592974,0.1523249210022577,0.5019541748227683,TRUE,High
Gruhelivirus A,Picornaviridae,ssRNA(+),Aves,Gruiformes,0.19926662227676867,0.09821339289172187,0.32381483127507715,FALSE,Medium
Grusopivirus A,Picornaviridae,ssRNA(+),Aves,Gruiformes,0.31899693725607,0.16392071316002496,0.5414659428661766,TRUE,High
Grusopivirus B,Picornaviridae,ssRNA(+),Aves,Gruiformes,0.16663515962388412,0.08925662821064725,0.28249367790230917,FALSE,Low
Megrivirus E,Picornaviridae,ssRNA(+),Aves,Sphenisciformes,0.24198239758787451,0.12441738426699353,0.4114334172856594,FALSE,Medium
Cadicivirus B,Picornaviridae,ssRNA(+),Mammalia,Eulipotyphla,0.17409262781768273,0.0882615986541514,0.2941711726767544,FALSE,Medium
Ludopivirus A,Picornaviridae,ssRNA(+),Aves,Anseriformes,0.13986540382782428,0.06641328067781045,0.22917126607992355,FALSE,Low
American dog uukuvirus,Phenuiviridae,ssRNA(+/-),Arachnida,Ixodida,0.43852364877218436,0.22619679037114482,0.6591875737896586,TRUE,High
Bhanja bandavirus,Phenuiviridae,ssRNA(+/-),Arachnida,Ixodida,0.29709611197033553,0.15406395351039986,0.44626712026139304,TRUE,High
Blackleg ixovirus,Phenuiviridae,ssRNA(-),Arachnida,Ixodida,0.44182330859486124,0.25027501488429504,0.6403753902228779,TRUE,High
Grand Arbaud uukuvirus,Phenuiviridae,ssRNA(+/-),Arachnida,Ixodida,0.3775936971862723,0.1945076300404755,0.6044228899776116,TRUE,High
Huangpi uukuvirus,Phenuiviridae,ssRNA(+/-),Arachnida,Ixodida,0.4768608904534519,0.2415602150210089,0.7434636084817154,TRUE,High
Kabuto mountain uukuvirus,Phenuiviridae,ssRNA(+/-),Arachnida,Ixodida,0.5052470145807257,0.2927962803790943,0.7549189876241054,TRUE,High
Kismaayo bandavirus,Phenuiviridae,ssRNA(+/-),Arachnida,Ixodida,0.3524429888262775,0.17738814962622612,0.5828339941658185,TRUE,High
Laurel Lake laulavirus,Phenuiviridae,ssRNA(-),Arachnida,Ixodida,0.20865298515895184,0.08471406944800092,0.3239994123505517,FALSE,Medium
Lone Star bandavirus,Phenuiviridae,ssRNA(+/-),Arachnida,Ixodida,0.3253601023005812,0.16578188023440044,0.5668136920923925,TRUE,High
Mukawa phlebovirus,Phenuiviridae,ssRNA(+/-),Arachnida,Ixodida,0.687862135336869,0.4224827439698921,0.9291770376026003,TRUE,Very high
Precarious Point uukuvirus,Phenuiviridae,ssRNA(+/-),Arachnida,Ixodida,0.37940916320509316,0.2056134021864479,0.7507055229959282,TRUE,High
Silverwater uukuvirus,Phenuiviridae,ssRNA(+/-),Arachnida,Ixodida,0.3065283439324264,0.14579315836275464,0.537451647310944,TRUE,High
Passerivirus B,Picornaviridae,ssRNA(+),Aves,Passeriformes,0.32660153450678064,0.16489939810241172,0.5594272733882412,TRUE,High
Poecivirus A,Picornaviridae,ssRNA(+),Aves,Passeriformes,0.1463094697666438,0.06814311741942644,0.23904335870864313,FALSE,Low
Leticia phlebovirus,Phenuiviridae,ssRNA(+/-),NA,NA,0.43774790710560196,0.22981758715133532,0.735195062936749,TRUE,High
Salobo phlabovirus,Phenuiviridae,ssRNA(+/-),NA,NA,0.3395886579147864,0.1796741155860197,0.5730454676621771,TRUE,High
Schmidt uukuvirus,Phenuiviridae,ssRNA(+/-),NA,NA,0.5387488952001506,0.299336230498343,0.8332163354031206,TRUE,Very high
Uriurana phlebovirus,Phenuiviridae,ssRNA(+/-),NA,NA,0.31045479165834644,0.17441414114949966,0.49758385460755694,TRUE,High
Anativirus B,Picornaviridae,ssRNA(+),Aves,Galliformes,0.13976318434311696,0.05601577745812335,0.2432160327150475,FALSE,Low
Megrivirus C,Picornaviridae,ssRNA(+),Aves,Galliformes,0.17731657431107617,0.09634646075522443,0.2778020039694885,FALSE,Low
Orivirus A,Picornaviridae,ssRNA(+),Aves,Galliformes,0.21351995011033123,0.08976116306873402,0.35114605622833817,FALSE,Medium
Ailurivirus A,Picornaviridae,ssRNA(+),Mammalia,Carnivora,0.23902735297200117,0.12133217345331496,0.4255760735731377,FALSE,Medium
Felipivirus A,Picornaviridae,ssRNA(+),Mammalia,Carnivora,0.09695308208717109,0.03340389620537397,0.18653096153458898,FALSE,Low
Mischivirus D,Picornaviridae,ssRNA(+),Mammalia,Carnivora,0.1515914819686588,0.06577713014835833,0.27760546975917666,FALSE,Low
Boosepivirus A,Picornaviridae,ssRNA(+),Mammalia,Artiodactyla,0.5028966570788399,0.25217783021748075,0.7811833642212804,TRUE,High
Boosepivirus B,Picornaviridae,ssRNA(+),Mammalia,Artiodactyla,0.29002633857556603,0.1517153854788879,0.47299476885725467,FALSE,Medium
Boosepivirus C,Picornaviridae,ssRNA(+),Mammalia,Artiodactyla,0.3566355325826282,0.18291769187231122,0.5914323317115575,TRUE,High
Teschovirus B,Picornaviridae,ssRNA(+),Mammalia,Artiodactyla,0.14784229807124738,0.07897999938266023,0.23658431475102062,FALSE,Low
Tottorivirus A,Picornaviridae,ssRNA(+),Mammalia,Artiodactyla,0.30986536667916104,0.18432283994312187,0.4578949846029435,TRUE,High
Enterovirus L,Picornaviridae,ssRNA(+),Mammalia,Primates,0.28431469841244017,0.13708949951505062,0.4898688263217338,FALSE,Medium
Kunsagivirus C,Picornaviridae,ssRNA(+),Mammalia,Primates,0.1747840836510504,0.0760860612991861,0.29118928609351313,FALSE,Low
Malagasivirus A,Picornaviridae,ssRNA(+),Mammalia,Primates,0.14265386700813038,0.06288474507349213,0.22988592327000396,FALSE,Low
Malagasivirus B,Picornaviridae,ssRNA(+),Mammalia,Primates,0.16091556575448723,0.06040077693120795,0.29061206151429736,FALSE,Low
Adana phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.28929450341415486,0.13280978885871808,0.6210290580742955,FALSE,Medium
Aguacate phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.4175015434863715,0.2409775134949303,0.6402629619926254,TRUE,High
Alcube phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.35264470561382666,0.176994315699611,0.6541997439056637,TRUE,High
Arumowot phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.41102781323948157,0.20426164186494128,0.6664790428825134,TRUE,High
Buenaventura phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.2923993511706068,0.147349235478154,0.4881533327033832,FALSE,Medium
Cacao phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.18396863974215844,0.0920167664615657,0.33183835380827814,FALSE,Medium
Dashli phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.3831874407090055,0.18495178378637347,0.5734470540226939,TRUE,High
Durania phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.45267294304278255,0.24174397295749275,0.7654385848024475,TRUE,High
Ixcanal phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.44154412594791576,0.255795882923539,0.7172396290876444,TRUE,High
Massilia phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.27958750507361835,0.11994500784061907,0.4506589887825554,FALSE,Medium
Medjerda phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.35937725142094323,0.17481605133802022,0.6063613232116738,TRUE,High
Nique phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.24816655638873752,0.12072612859167103,0.39330430310102776,FALSE,Medium
Ntepes phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.41049333153848544,0.2033122618820358,0.6446987558539047,TRUE,High
Odrenisrou phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.43748074780420765,0.21285459941787577,0.7577167753107537,TRUE,High
Oriximina phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.36993650920145327,0.17488565851839197,0.642525006433348,TRUE,High
Toros phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.23729088267126058,0.12472927306797721,0.3878406798327486,FALSE,Medium
Turuna phlebovirus,Phenuiviridae,ssRNA(+/-),Insecta,Diptera,0.35328800346010564,0.2020254568010799,0.5663012402220773,TRUE,High
Cardiovirus E,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.15526420240710911,0.06560284945811103,0.2550785775681919,FALSE,Low
Cardiovirus F,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.16347681436208328,0.0699123019833777,0.2598118398854137,FALSE,Low
Gabek phlebovirus,Phenuiviridae,ssRNA(+/-),Mammalia,Rodentia,0.4944160846177699,0.24640772894550872,0.781920013366983,TRUE,High
Itaporanga phlebovirus,Phenuiviridae,ssRNA(+/-),Mammalia,Rodentia,0.36896813598491657,0.21007502153574392,0.5912338412157816,TRUE,High
Mosavirus B,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.17606816807487377,0.07435624237773511,0.29228267943289665,FALSE,Low
Mupivirus A,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.15422691687115167,0.06824301439170269,0.30411410792022675,FALSE,Medium
Parabovirus A,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.168814107860442,0.06843440461954234,0.29925092608451365,FALSE,Medium
Parabovirus B,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.17504831350391023,0.07171095425539928,0.2818122417241267,FALSE,Low
Parabovirus C,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.12525410178343985,0.06562177213162888,0.20781775697568117,FALSE,Low
Rabovirus B,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.22982679836437733,0.09302008885607416,0.42943270524595767,FALSE,Medium
Rabovirus C,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.21188318535011244,0.09191537384854605,0.3150281800908431,FALSE,Medium
Rabovirus D,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.13143450854145133,0.05288503224200783,0.20811585685598827,FALSE,Low
Rohelivirus A,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.18138442790968676,0.0815439692400815,0.30919219716574703,FALSE,Medium
Rosavirus B,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.21595893718689135,0.10822797990819541,0.35511923658609346,FALSE,Medium
Rosavirus C,Picornaviridae,ssRNA(+),Mammalia,Rodentia,0.13620698379420965,0.06722770535476871,0.2504014049656084,FALSE,Low
Saint Floris phlebovirus,Phenuiviridae,ssRNA(+/-),Mammalia,Rodentia,0.25861977071796055,0.13221502109783384,0.4220728312859962,FALSE,Medium
Alenquer phlebovirus,Phenuiviridae,ssRNA(+/-),Mammalia,Primates,0.24333269463690319,0.1220327273922033,0.42145235687850696,FALSE,Medium
Cardiovirus D,Picornaviridae,ssRNA(+),Mammalia,Primates,0.2440551232158962,0.12146960029229481,0.4694921551442982,FALSE,Medium
Chagres phlebovirus,Phenuiviridae,ssRNA(+/-),Mammalia,Primates,0.21101040423010406,0.10119633288232524,0.35668605075341286,FALSE,Medium
Echarate phlebovirus,Phenuiviridae,ssRNA(+/-),Mammalia,Primates,0.30718104146606234,0.1620607853837882,0.5119757761766026,TRUE,High
Heartland bandavirus,Phenuiviridae,ssRNA(-),Mammalia,Primates,0.39885125585808356,0.19895929349828112,0.6737831273831046,TRUE,High
Sicilian phlebovirus,Phenuiviridae,ssRNA(+/-),Mammalia,Primates,0.42816481266579404,0.25251747436397165,0.6888865530409054,TRUE,High
Diresapivirus A,Picornaviridae,ssRNA(+),Mammalia,Chiroptera,0.4664724739111872,0.24747856683455668,0.7294016803419558,TRUE,High
Diresapivirus B,Picornaviridae,ssRNA(+),Mammalia,Chiroptera,0.20993471195470567,0.0972490347551978,0.3733229180189163,FALSE,Medium
Mischivirus B,Picornaviridae,ssRNA(+),Mammalia,Chiroptera,0.16678288209524045,0.08794087167715264,0.27337220473240925,FALSE,Low
Utinga orthobunyavirus,Peribunyaviridae,ssRNA(-),Mammalia,Pilosa,0.41394328624761006,0.228926733153941,0.698472825142732,TRUE,High
Snowshoe hare orthobunyavirus,Peribunyaviridae,ssRNA(-),Mammalia,Lagomorpha,0.4798975745645126,0.24935911737377758,0.7329504455116991,TRUE,High
Ingwavuma orthobunyavirus,Peribunyaviridae,ssRNA(-),Aves,Passeriformes,0.40115769291458725,0.21015413636556685,0.6294711864027347,TRUE,High
Mermet orthobunyavirus,Peribunyaviridae,ssRNA(-),Aves,Passeriformes,0.4381503468163569,0.2429253922376861,0.7108390794278772,TRUE,High
Cachoeira Porteira orthobunyavirus,Peribunyaviridae,ssRNA(-),NA,NA,0.4162953798614233,0.21791423482639205,0.6605067357389243,TRUE,High
Jatobal orthobunyavirus,Peribunyaviridae,ssRNA(-),Mammalia,Carnivora,0.5061810555134332,0.2749309142424253,0.7637622189425046,TRUE,High
Sabo orthobunyavirus,Peribunyaviridae,ssRNA(-),Mammalia,Artiodactyla,0.3399660406476695,0.17441879608744737,0.5902214216204731,TRUE,High
Sango orthobunyavirus,Peribunyaviridae,ssRNA(-),Mammalia,Artiodactyla,0.47838038031803687,0.25660874981718307,0.7077300151900777,TRUE,High
Aino orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.7238342823487792,0.4097020183710493,0.9270013487936493,TRUE,Very high
Anadyr orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.46431153341831943,0.23422805072230765,0.716111662831273,TRUE,High
Anhembi orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.5000645977995867,0.2752164981142089,0.7518236584615579,TRUE,High
Batai orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.34284135463246074,0.17066532720891253,0.5842271112829516,TRUE,High
Bellavista orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.47507164371825605,0.24288299768874105,0.6960216697616719,TRUE,High
Birao orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.6398594998527122,0.37264777511537045,0.9211609270597523,TRUE,Very high
Bozo orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.4059608354556679,0.22213486078309674,0.6328145213086201,TRUE,High
Buttonwillow orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.3559697469042888,0.19886415971358812,0.5761805518638299,TRUE,High
Cache Valley orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.5930219294322567,0.33790138216929244,0.8472078162443275,TRUE,Very high
Caimito pacuvirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.45858238150059694,0.2587589887069756,0.7475526017025249,TRUE,High
Cat Que orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.2306474493333696,0.11295950249399714,0.5411501683343771,FALSE,Medium
Enseada orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.3092611494186334,0.14807175848894572,0.49644722843443545,TRUE,High
Faceys paddock orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.2967925162373968,0.15447332878096476,0.5053918697493991,TRUE,High
Iaco orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.3310049408228087,0.1923442849841861,0.5389339180256199,TRUE,High
Jamestown Canyon orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.31436199373228496,0.16439815244411893,0.5389182072166275,TRUE,High
Keystone orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.47040679433603194,0.2882126597346159,0.7649710283999673,TRUE,High
Leanyer orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.314913990119696,0.13178037429228412,0.5392702256476798,TRUE,High
Lumbo orthbunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.6663913880366784,0.4575258949016979,0.900756544903232,TRUE,Very high
Macaua orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.24269263984125924,0.12186497658068585,0.39010337398260697,FALSE,Medium
Maguari orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.6157856366108811,0.3743380892863731,0.8776680132419556,TRUE,Very high
Melao orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.5097875936574383,0.29303428133366083,0.7749524465634834,TRUE,Very high
Peaton orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.39015825453017794,0.24291741282129514,0.5719789210182911,TRUE,High
Potosi orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.6231889895502178,0.3753507647437484,0.8400754690544823,TRUE,Very high
Rio Preto da Eva pacuvirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.4014171005435253,0.23528270267455215,0.630690609283748,TRUE,High
San Angelo orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.47614369123951383,0.25759263793851883,0.7610169692353883,TRUE,High
Serra do Navio orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.38223280931466813,0.21494602032007265,0.6220845030967639,TRUE,High
Sororoca orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.36799839922417005,0.17146267885026756,0.6018170417895112,TRUE,High
Tahyna orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.5095966461166656,0.29638800921089276,0.7692948294135745,TRUE,Very high
Tataguine orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.3567666149183176,0.16947258654358366,0.6624310747415152,TRUE,High
Tensaw orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.3510004135620722,0.18043048121704225,0.6175243631708647,TRUE,High
Trivittatus orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.43913982029764087,0.24496191807983336,0.6701010575931151,TRUE,High
Witwatersrand orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.31635299962004493,0.1296380800591465,0.5163473293793214,TRUE,High
Wolkberg orthobunyavirus,Peribunyaviridae,ssRNA(-),Insecta,Diptera,0.21392370581684217,0.11463749434989759,0.36438702738964457,FALSE,Medium
Pacui pacuvirus,Peribunyaviridae,ssRNA(-),Mammalia,Rodentia,0.3282209710751764,0.1713384677272598,0.5164246340132795,TRUE,High
Tapirape pacuvirus,Peribunyaviridae,ssRNA(-),Mammalia,Rodentia,0.3667743413274585,0.20034547081211057,0.5868362217770424,TRUE,High
Fort Sherman orthobunyavirus,Peribunyaviridae,ssRNA(-),Mammalia,Primates,0.5256731862046545,0.2948774011314167,0.7495452196887317,TRUE,Very high
Ilesha orthobunyavirus,Peribunyaviridae,ssRNA(-),Mammalia,Primates,0.2599196295890272,0.12311563267385874,0.45671545819711934,FALSE,Medium
La Crosse orthobunyavirus,Peribunyaviridae,ssRNA(-),Mammalia,Primates,0.6598919709069847,0.38678781207212043,0.9020091734563009,TRUE,Very high
Raptor siadenovirus A,Adenoviridae,dsDNA,Aves,Accipitriformes,0.36444089383198197,0.2171730298708036,0.5701612259233639,TRUE,High
Skua siadenovirus A,Adenoviridae,dsDNA,Aves,Charadriiformes,0.2840706851809455,0.16554140060929717,0.43735250237026724,FALSE,Medium
Pigeon aviadenovirus A,Adenoviridae,dsDNA,Aves,Columbiformes,0.25299138127040083,0.13977105883682983,0.41506362385146744,FALSE,Medium
Pigeon aviadenovirus B,Adenoviridae,dsDNA,Aves,Columbiformes,0.34700279910972937,0.19152242193663482,0.5507471404069181,TRUE,High
Penguin siadenovirus A,Adenoviridae,dsDNA,Aves,Sphenisciformes,0.25450849135938003,0.1515137695663939,0.42841493053911206,FALSE,Medium
Psittacine atadenovirus A,Adenoviridae,dsDNA,Aves,Psittaciformes,0.2002602157080047,0.08695156335723961,0.37703739045460194,FALSE,Medium
Psittacine aviadenovirus B,Adenoviridae,dsDNA,Aves,Psittaciformes,0.1959357158854641,0.10366364758900203,0.3865799318766153,FALSE,Medium
Duck aviadenovirus B,Adenoviridae,dsDNA,Aves,Anseriformes,0.19530365686503284,0.10212919587932077,0.33162564194611566,FALSE,Medium
Goose aviadenovirus A,Adenoviridae,dsDNA,Aves,Anseriformes,0.42732968830883616,0.24298353144682136,0.7208887552683383,TRUE,High
Duck atadenovirus A,Adenoviridae,dsDNA,Aves,NA,0.23150896722285377,0.10573654058645623,0.3649015901304359,FALSE,Medium
Fowl aviadenovirus A,Adenoviridae,dsDNA,Aves,Galliformes,0.27925462034088844,0.15193467559947718,0.45152669088762476,FALSE,Medium
Fowl aviadenovirus B,Adenoviridae,dsDNA,Aves,Galliformes,0.39124223245234724,0.20874035476888397,0.6548560672131893,TRUE,High
Fowl aviadenovirus C,Adenoviridae,dsDNA,Aves,Galliformes,0.35015924351474975,0.16469847887072483,0.5924402270755107,TRUE,High
Fowl aviadenovirus D,Adenoviridae,dsDNA,Aves,Galliformes,0.2770689377272973,0.14889582182499905,0.44163567167968576,FALSE,Medium
Fowl aviadenovirus E,Adenoviridae,dsDNA,Aves,Galliformes,0.31838379408442435,0.16790221034228991,0.5451767154091204,TRUE,High
Turkey aviadenovirus B,Adenoviridae,dsDNA,Aves,Galliformes,0.23099064057163896,0.12659311021904157,0.40820580288324637,FALSE,Medium
Turkey aviadenovirus C,Adenoviridae,dsDNA,Aves,Galliformes,0.3123347997053712,0.16829272270866313,0.5221619736736508,TRUE,High
Turkey aviadenovirus D,Adenoviridae,dsDNA,Aves,Galliformes,0.23280567628619434,0.14182459620790527,0.35256164077544316,FALSE,Medium
Turkey siadenovirus A,Adenoviridae,dsDNA,Aves,Galliformes,0.17150292683265644,0.07987485036051525,0.2669464542968376,FALSE,Low
Polar bear mastadenovirus A,Adenoviridae,dsDNA,Mammalia,Carnivora,0.22578176305644418,0.1263505050241307,0.38172961443808673,FALSE,Medium
Sea lion mastadenovirus A,Adenoviridae,dsDNA,Mammalia,Carnivora,0.24501697446842677,0.1200744523944749,0.40275132546516423,FALSE,Medium
Skunk mastadenovirus A,Adenoviridae,dsDNA,Mammalia,Carnivora,0.35348119857469124,0.2006187248965113,0.6485553085895377,TRUE,High
Deer atadenovirus A,Adenoviridae,dsDNA,Mammalia,Artiodactyla,0.30719960296938836,0.1889806605175754,0.4811510503596581,TRUE,High
Deer mastadenovirus B,Adenoviridae,dsDNA,Mammalia,Artiodactyla,0.2572954856005682,0.13448885876263433,0.5165530592327054,FALSE,Medium
Dolphin mastadenovirus B,Adenoviridae,dsDNA,Mammalia,Artiodactyla,0.26172447135915405,0.13268236913628034,0.42606843318724474,FALSE,Medium
Ovine mastadenovirus C,Adenoviridae,dsDNA,Mammalia,Artiodactyla,0.1984652547113294,0.09838598838642676,0.33649279111085295,FALSE,Medium
Human mastadenovirus G,Adenoviridae,dsDNA,Mammalia,Primates,0.4337999800796531,0.26029819338772564,0.6798966968139017,TRUE,High
Platyrrhini mastadenovirus A,Adenoviridae,dsDNA,Mammalia,Primates,0.45703254473882665,0.207795228736749,0.7704618450513238,TRUE,High
Simian mastadenovirus A,Adenoviridae,dsDNA,Mammalia,Primates,0.4721434329246553,0.25789123332351127,0.7649396249120721,TRUE,High
Simian mastadenovirus B,Adenoviridae,dsDNA,Mammalia,Primates,0.5018082970125249,0.2802747530139875,0.7422360153085679,TRUE,High
Simian mastadenovirus C,Adenoviridae,dsDNA,Mammalia,Primates,0.28264712745693055,0.10852091715252955,0.48676063789360635,FALSE,Medium
Simian mastadenovirus D,Adenoviridae,dsDNA,Mammalia,Primates,0.306613296778559,0.1496941669800266,0.5298436800261378,TRUE,High
Simian mastadenovirus E,Adenoviridae,dsDNA,Mammalia,Primates,0.48799317507447354,0.2464882344822731,0.7486731282402947,TRUE,High
Simian mastadenovirus F,Adenoviridae,dsDNA,Mammalia,Primates,0.5013893226941868,0.2776599312421321,0.8063158289400689,TRUE,High
Simian mastadenovirus G,Adenoviridae,dsDNA,Mammalia,Primates,0.31706021647061244,0.13388633103562564,0.5463825444753723,TRUE,High
Simian mastadenovirus H,Adenoviridae,dsDNA,Mammalia,Primates,0.4632175279511804,0.27490945079564705,0.787987950786663,TRUE,High
Simian mastadenovirus I,Adenoviridae,dsDNA,Mammalia,Primates,0.5753402205019629,0.3394644438933188,0.8126326442498522,TRUE,Very high
Murine mastadenovirus C,Adenoviridae,dsDNA,Mammalia,Rodentia,0.21107977843318934,0.09891556639637605,0.4054053636312457,FALSE,Medium
Squirrel mastadenovirus A,Adenoviridae,dsDNA,Mammalia,Rodentia,0.3438370872037132,0.19537843513588518,0.6246826689835834,TRUE,High
Bat mastadenovirus A,Adenoviridae,dsDNA,Mammalia,Chiroptera,0.5320875583076241,0.27049861378615236,0.810633406327344,TRUE,High
Bat mastadenovirus B,Adenoviridae,dsDNA,Mammalia,Chiroptera,0.5219457773385572,0.2789757678429168,0.8120987061667916,TRUE,High
Bat mastadenovirus C,Adenoviridae,dsDNA,Mammalia,Chiroptera,0.6162677055708512,0.3694382993394898,0.8384544403253451,TRUE,Very high
Bat mastadenovirus D,Adenoviridae,dsDNA,Mammalia,Chiroptera,0.3740372463466038,0.22028684449538471,0.5647891343211924,TRUE,High
Bat mastadenovirus E,Adenoviridae,dsDNA,Mammalia,Chiroptera,0.35489425307184164,0.20148410020939278,0.5563018796376875,TRUE,High
Bat mastadenovirus F,Adenoviridae,dsDNA,Mammalia,Chiroptera,0.5380696189505781,0.26876564280115867,0.8115938546590103,TRUE,High
Bat mastadenovirus G,Adenoviridae,dsDNA,Mammalia,Chiroptera,0.22022271347895694,0.09229042345831295,0.35082379854172074,FALSE,Medium
Bat mastadenovirus H,Adenoviridae,dsDNA,Mammalia,Chiroptera,0.49021789020376855,0.2507743306055516,0.7836723397309044,TRUE,High
Bat mastadenovirus I,Adenoviridae,dsDNA,Mammalia,Chiroptera,0.6343463815291057,0.37093192707166633,0.8206946296346886,TRUE,Very high
Bat mastadenovirus J,Adenoviridae,dsDNA,Mammalia,Chiroptera,0.2768934870084691,0.14018254614909204,0.45739240623716015,FALSE,Medium
Ostrich associated gemytondvirus 1,Genomoviridae,ssDNA,Aves,Struthioniformes,0.24289449466282073,0.12995513986871024,0.38629772496134096,FALSE,Medium
Rabbit associated gemykroznavirus 1,Genomoviridae,ssDNA,Mammalia,Lagomorpha,0.48885420354157,0.2571009385465898,0.8098755574573717,TRUE,High
Equine associated gemycircularvirus 1,Genomoviridae,ssDNA,Mammalia,Perissodactyla,0.10931784547071068,0.04214597019387789,0.18974356034966422,FALSE,Low
Mallard associated gemycircularvirus 1,Genomoviridae,ssDNA,Aves,Anseriformes,0.33809642973344134,0.158658990260241,0.5641329582856967,TRUE,High
Mallard associated gemygorvirus 1,Genomoviridae,ssDNA,Aves,Anseriformes,0.15595366817598044,0.07514384441281173,0.26344966038083206,FALSE,Low
Black robin associated gemykibivirus 1,Genomoviridae,ssDNA,Aves,Passeriformes,0.33763313964938607,0.1679447554044834,0.5610692729658556,TRUE,High
