LatestSppName,InfectsHumans,Family,GenomeType,BroadGenomeType,Class
Lebombo virus,TRUE,Reoviridae,dsRNA,dsRNA,Zoonotic
Lettuce necrotic yellows cytorhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Lettuce yellow mottle cytorhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Limnipivirus C,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Lloviu cuevavirus,FALSE,Filoviridae,ssRNA(-),ssRNA,No human infections
Loei River mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Louping ill virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Lujo mammarenavirus,TRUE,Arenaviridae,ssRNA(+/-),ssRNA,Zoonotic
Lumpy skin disease virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Luna mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Lunk mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Lymphocytic choriomeningitis mammarenavirus,TRUE,Arenaviridae,ssRNA(+/-),ssRNA,Zoonotic
Macaca mulatta polyomavirus 1,TRUE,Polyomaviridae,dsDNA,dsDNA,Zoonotic
Macacine alphaherpesvirus 1,TRUE,Herpesviridae,dsDNA,dsDNA,Zoonotic
Macacine betaherpesvirus 3,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Macacine gammaherpesvirus 4,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Macacine gammaherpesvirus 5,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Rhesus macaque simian foamy virus,TRUE,Retroviridae,ssRNA-RT,ssRNA-RT,Zoonotic
Machupo mammarenavirus,TRUE,Arenaviridae,ssRNA(+/-),ssRNA,Zoonotic
Macropodid alphaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Madariaga virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Madrid orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Main Drain orthobunyavirus,FALSE,Peribunyaviridae,ssRNA(-),ssRNA,No human infections
Maize fine streak nucleorhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Maize Iranian mosaic nucleorhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Maize mosaic nucleorhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Malpais Spring vesiculovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Mamastrovirus 1,TRUE,Astroviridae,ssRNA(+),ssRNA,Human virus
Mamastrovirus 10,FALSE,Astroviridae,ssRNA(+),ssRNA,No human infections
Mamastrovirus 13,FALSE,Astroviridae,ssRNA(+),ssRNA,No human infections
Mamastrovirus 2,FALSE,Astroviridae,ssRNA(+),ssRNA,No human infections
Mamastrovirus 3,FALSE,Astroviridae,ssRNA(+),ssRNA,No human infections
Mamastrovirus 6,TRUE,Astroviridae,ssRNA(+),ssRNA,Human virus
Mamastrovirus 9,TRUE,Astroviridae,ssRNA(+),ssRNA,Human virus
Mammalian 1 orthobornavirus,TRUE,Bornaviridae,ssRNA(-),ssRNA,Zoonotic
Mammalian orthorubulavirus 5,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Zoonotic
Manzanilla orthobunyavirus,FALSE,Peribunyaviridae,ssRNA(-),ssRNA,No human infections
Mapuera orthorubulavirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Maraba vesiculovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Marburg marburgvirus,TRUE,Filoviridae,ssRNA(-),ssRNA,Zoonotic
Marituba orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Mason-Pfizer monkey virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Mayaro virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Measles morbillivirus,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Human virus
Menangle pararubulavirus,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Zoonotic
Merino Walk mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Mesocricetus auratus polyomavirus 1,FALSE,Polyomaviridae,dsDNA,dsDNA,No human infections
Middelburg virus,FALSE,Togaviridae,ssRNA(+),ssRNA,No human infections
Middle East respiratory syndrome-related coronavirus,TRUE,Coronaviridae,ssRNA(+),ssRNA,Zoonotic
Miniopterus bat coronavirus HKU8,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Mischivirus A,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Mischivirus C,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Mobala mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Modoc virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Mojiang henipavirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Mokola lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Molluscum contagiosum virus,TRUE,Poxviridae,dsDNA,dsDNA,Human virus
Moloney murine sarcoma virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Monkeypox virus,TRUE,Poxviridae,dsDNA,dsDNA,Zoonotic
Montana myotis leukoencephalitis virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Mopeia mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Mosso das Pedras virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Mount Elgon bat ledantevirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Mouse mammary tumor virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Moussa virus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Mucambo virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Mumps orthorubulavirus,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Human virus
Munia coronavirus HKU13,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Mupapillomavirus 1,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Mupapillomavirus 2,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Murid betaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Murid betaherpesvirus 2,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Murid gammaherpesvirus 4,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Murine coronavirus,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Murine leukemia virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Murine mastadenovirus A,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Murine mastadenovirus B,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Murine orthopneumovirus,FALSE,Pneumoviridae,ssRNA(-),ssRNA,No human infections
Murine respirovirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Murray Valley encephalitis virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Mus musculus polyomavirus 1,FALSE,Polyomaviridae,dsDNA,dsDNA,No human infections
Mus musculus polyomavirus 2,FALSE,Polyomaviridae,dsDNA,dsDNA,No human infections
Myxoma virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Ndumu virus,FALSE,Togaviridae,ssRNA(+),ssRNA,No human infections
Nelson Bay orthoreovirus,TRUE,Reoviridae,dsRNA,dsRNA,Zoonotic
New Jersey vesiculovirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Newbury 1 virus,FALSE,Caliciviridae,ssRNA(+),ssRNA,No human infections
Ngaingan hapavirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Niakha sripuvirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Night heron coronavirus HKU19,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Nipah henipavirus,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Zoonotic
Northern cereal mosaic cytorhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Norwalk virus,TRUE,Caliciviridae,ssRNA(+),ssRNA,Human virus
Ntaya virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Nupapillomavirus 1,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Nyando orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Onyong-nyong virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Obodhiang ephemerovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Oita ledantevirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Oliveros mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Omikronpapillomavirus 1,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Omsk hemorrhagic fever virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Orf virus,TRUE,Poxviridae,dsDNA,dsDNA,Zoonotic
Oriboca orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Oropouche orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Orthohepevirus A,TRUE,Hepeviridae,ssRNA(+),ssRNA,Human virus
Orthohepevirus B,FALSE,Hepeviridae,ssRNA(+),ssRNA,No human infections
Orthohepevirus C,FALSE,Hepeviridae,ssRNA(+),ssRNA,No human infections
Orthohepevirus D,FALSE,Hepeviridae,ssRNA(+),ssRNA,No human infections
Orungo virus,TRUE,Reoviridae,dsRNA,dsRNA,Zoonotic
Oscivirus A,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Ovine atadenovirus D,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Ovine gammaherpesvirus 2,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Ovine mastadenovirus A,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Palyam virus,TRUE,Reoviridae,dsRNA,dsRNA,Zoonotic
Panine betaherpesvirus 2,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Papiine alphaherpesvirus 2,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Paraguayan mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Parapoxvirus of red deer in New Zealand,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Parechovirus A,TRUE,Picornaviridae,ssRNA(+),ssRNA,Human virus
Parechovirus B,TRUE,Picornaviridae,ssRNA(+),ssRNA,Zoonotic
Patois orthobunyavirus,FALSE,Peribunyaviridae,ssRNA(-),ssRNA,No human infections
Pegivirus A,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Pegivirus C,TRUE,Flaviviridae,ssRNA(+),ssRNA,Human virus
Pegivirus E,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Pegivirus H,TRUE,Flaviviridae,ssRNA(+),ssRNA,Human virus
Perch perhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Perinet vesiculovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Peruvian horse sickness virus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
Phnom Penh bat virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Phocid alphaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Phocine morbillivirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Cali mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Pipapillomavirus 1,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Pipistrellus bat coronavirus HKU5,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Pirital mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Piry vesiculovirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Piscihepevirus A,FALSE,Hepeviridae,ssRNA(+),ssRNA,No human infections
Piscine novirhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Pixuna virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Porcine circovirus 1,FALSE,Circoviridae,ssDNA(+/-),ssDNA,No human infections
Porcine circovirus 2,FALSE,Circoviridae,ssDNA(+/-),ssDNA,No human infections
Porcine epidemic diarrhea virus,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Porcine mastadenovirus A,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Porcine mastadenovirus C,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Betaarterivirus suid 1,FALSE,Arteriviridae,ssRNA(+),ssRNA,No human infections
Porcine respirovirus 1,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Porcine orthorubulavirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Porcine torovirus,FALSE,Tobaniviridae,ssRNA(+),ssRNA,No human infections
Porcine type-C oncovirus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Potato yellow dwarf nucleorhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Powassan virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Primate erythroparvovirus 1,TRUE,Parvoviridae,ssDNA(+/-),ssDNA,Human virus
Primate T-lymphotropic virus 1,TRUE,Retroviridae,ssRNA-RT,ssRNA-RT,Human virus
Primate T-lymphotropic virus 2,TRUE,Retroviridae,ssRNA-RT,ssRNA-RT,Human virus
Primate T-lymphotropic virus 3,TRUE,Retroviridae,ssRNA-RT,ssRNA-RT,Human virus
Pestivirus E,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Pseudocowpox virus,TRUE,Poxviridae,dsDNA,dsDNA,Zoonotic
Puerto Almendras almendravirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Puma lentivirus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Punta Toro phlebovirus,TRUE,Phenuiviridae,ssRNA(-),ssRNA,Zoonotic
Puumala orthohantavirus,TRUE,Hantaviridae,ssRNA(-),ssRNA,Zoonotic
Quaranfil quaranjavirus,TRUE,Orthomyxoviridae,ssRNA(-),ssRNA,Zoonotic
Rabbit fibroma virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Rabbit hemorrhagic disease virus,FALSE,Caliciviridae,ssRNA(+),ssRNA,No human infections
Rabies lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Raccoonpox virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Reptile sunshinevirus 1,FALSE,Sunviridae,ssRNA(-),ssRNA,No human infections
Reptilian ferlavirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Reston ebolavirus,TRUE,Filoviridae,ssRNA(-),ssRNA,Zoonotic
Rhinolophus bat coronavirus HKU2,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Rhinovirus A,TRUE,Picornaviridae,ssRNA(+),ssRNA,Human virus
Rhinovirus B,TRUE,Picornaviridae,ssRNA(+),ssRNA,Human virus
Rhinovirus C,TRUE,Picornaviridae,ssRNA(+),ssRNA,Human virus
Rice yellow stunt nucleorhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Rift Valley fever phlebovirus,TRUE,Phenuiviridae,ssRNA(-),ssRNA,Zoonotic
Rinderpest morbillivirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Rio Bravo virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Rio Negro virus,FALSE,Togaviridae,ssRNA(+),ssRNA,No human infections
Rodent erythroparvovirus 1,FALSE,Parvoviridae,ssDNA(+/-),ssDNA,No human infections
Rodent protoparvovirus 1,FALSE,Parvoviridae,ssDNA(+/-),ssDNA,No human infections
Rodent protoparvovirus 2,FALSE,Parvoviridae,ssDNA(+/-),ssDNA,No human infections
Ross River virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Rotavirus A,TRUE,Reoviridae,dsRNA,dsRNA,Human virus
Rotavirus B,TRUE,Reoviridae,dsRNA,dsRNA,Human virus
Rotavirus C,TRUE,Reoviridae,dsRNA,dsRNA,Human virus
Rotterdam reptarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Rousettus bat coronavirus HKU9,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Royal Farm virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Rubella virus,TRUE,Matonaviridae,ssRNA(+),ssRNA,Human virus
Brazilian mammarenavirus,TRUE,Arenaviridae,ssRNA(+/-),ssRNA,Zoonotic
Saboya virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Saimiriine alphaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Saimiriine gammaherpesvirus 2,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Sakobuvirus A,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Salehabad phlebovirus,FALSE,Phenuiviridae,ssRNA(-),ssRNA,No human infections
Salivirus A,TRUE,Picornaviridae,ssRNA(+),ssRNA,Human virus
Salmon aquaparamyxovirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Salmon pancreas disease virus,FALSE,Togaviridae,ssRNA(+),ssRNA,No human infections
Salmonid novirhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Sandfly fever Naples phlebovirus,TRUE,Phenuiviridae,ssRNA(-),ssRNA,Zoonotic
Sapelovirus A,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Sapporo virus,TRUE,Caliciviridae,ssRNA(+),ssRNA,Human virus
Scotophilus bat coronavirus 512,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Semliki Forest virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Seoul orthohantavirus,TRUE,Hantaviridae,ssRNA(-),ssRNA,Zoonotic
Sepik virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Severe acute respiratory syndrome-related coronavirus,TRUE,Coronaviridae,ssRNA(+),ssRNA,Zoonotic
Huaiyangshan banyangvirus,TRUE,Phenuiviridae,ssRNA(-),ssRNA,Zoonotic
Schmallenberg orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Sheeppox virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Shimoni bat lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Shuni orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Sicinivirus A,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Simbu orthobunyavirus,FALSE,Peribunyaviridae,ssRNA(-),ssRNA,No human infections
Western chimpanzee simian foamy virus,TRUE,Retroviridae,ssRNA-RT,ssRNA-RT,Zoonotic
Deltaarterivirus hemfev,FALSE,Arteriviridae,ssRNA(+),ssRNA,No human infections
Simian immunodeficiency virus,TRUE,Retroviridae,ssRNA-RT,ssRNA-RT,Zoonotic
Simian orthorubulavirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Sin Nombre orthohantavirus,TRUE,Hantaviridae,ssRNA(-),ssRNA,Zoonotic
Sindbis virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Small ruminant morbillivirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Snakehead novirhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Sonchus yellow net nucleorhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Sosuga pararubulavirus,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Zoonotic
Southern elephant seal virus,FALSE,Togaviridae,ssRNA(+),ssRNA,No human infections
Squirrel monkey retrovirus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Squirrelpox virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Saint Louis encephalitis virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Sudan ebolavirus,TRUE,Filoviridae,ssRNA(-),ssRNA,Zoonotic
Suid alphaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Swinepox virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Tacaiuma orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Tacaribe mammarenavirus,TRUE,Arenaviridae,ssRNA(+/-),ssRNA,Zoonotic
Tai Forest ebolavirus,TRUE,Filoviridae,ssRNA(-),ssRNA,Zoonotic
Tamiami mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Tanapox virus,TRUE,Poxviridae,dsDNA,dsDNA,Zoonotic
Taro vein chlorosis nucleorhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Taterapox virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Tembusu virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Pike fry sprivivirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Teschovirus A,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Thailand orthohantavirus,FALSE,Hantaviridae,ssRNA(-),ssRNA,No human infections
Thiafora orthonairovirus,TRUE,Nairoviridae,ssRNA(-),ssRNA,Zoonotic
Thogoto thogotovirus,TRUE,Orthomyxoviridae,ssRNA(-),ssRNA,Zoonotic
Thottopalayam thottimvirus,TRUE,Hantaviridae,ssRNA(-),ssRNA,Zoonotic
Tibrogargan tibrovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Tick-borne encephalitis virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Tioman pararubulavirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Tonate virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Tree shrew mastadenovirus A,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Tremovirus A,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Tuhoko pararubulavirus 1,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Tuhoko pararubulavirus 2,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Tuhoko pararubulavirus 3,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Tula orthohantavirus,TRUE,Hantaviridae,ssRNA(-),ssRNA,Zoonotic
Tupaia tupavirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Tupaiid betaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Turlock orthobunyavirus,FALSE,Peribunyaviridae,ssRNA(-),ssRNA,No human infections
Tylonycteris bat coronavirus HKU4,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Tyuleniy virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Uganda S virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Una virus,FALSE,Togaviridae,ssRNA(+),ssRNA,No human infections
Ungulate bocaparvovirus 1,FALSE,Parvoviridae,ssDNA(+/-),ssDNA,No human infections
Ungulate protoparvovirus 1,FALSE,Parvoviridae,ssDNA(+/-),ssDNA,No human infections
Uukuniemi phlebovirus,TRUE,Phenuiviridae,ssRNA(-),ssRNA,Zoonotic
Variola virus,TRUE,Poxviridae,dsDNA,dsDNA,Human virus
Venezuelan equine encephalitis virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Vesicular exanthema of swine virus,TRUE,Caliciviridae,ssRNA(+),ssRNA,Zoonotic
Visna-maedi virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Volepox virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Wad Medani virus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
Wallal virus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
Warrego virus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
Wenzhou mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Wesselsbron virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
West Caucasian bat lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
West Nile virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Western equine encephalitis virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Whataroa virus,FALSE,Togaviridae,ssRNA(+),ssRNA,No human infections
White bream virus,FALSE,Tobaniviridae,ssRNA(+),ssRNA,No human infections
White-eye coronavirus HKU16,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Whitewater Arroyo mammarenavirus,TRUE,Arenaviridae,ssRNA(+/-),ssRNA,Zoonotic
Wigeon coronavirus HKU20,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Wongabel hapavirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Woodchuck hepatitis virus,FALSE,Hepadnaviridae,dsDNA-RT,dsDNA-RT,No human infections
Woolly monkey sarcoma virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Wyeomyia orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Xipapillomavirus 1,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Yaba monkey tumor virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Yellow fever virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Human virus
Yokose virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Yug Bogdanovac vesiculovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Zaire ebolavirus,TRUE,Filoviridae,ssRNA(-),ssRNA,Zoonotic
Zegla orthobunyavirus,FALSE,Peribunyaviridae,ssRNA(-),ssRNA,No human infections
Zetapapillomavirus 1,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Zika virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Choclo orthohantavirus,TRUE,Hantaviridae,ssRNA(-),ssRNA,Zoonotic
Ekpoma 1 tibrovirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Ekpoma 2 tibrovirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Mammalian 2 orthobornavirus,TRUE,Bornaviridae,ssRNA(-),ssRNA,Zoonotic
Rotavirus H,TRUE,Reoviridae,dsRNA,dsRNA,Zoonotic
Aedes pseudoscutellaris reovirus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
Lambdaarterivirus afriporav,FALSE,Arteriviridae,ssRNA(+),ssRNA,No human infections
Aichivirus B,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Aichivirus C,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Aichivirus D,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Aichivirus E,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
