"UniversalName","Strain","VectorBorne","Vector","OtherTaxonomicInfo","Reference_Reservoir","Reference_Vector","LatestSppName","HumanOnly","IndirectDetectionOnly","Reference","DataSource","Reservoir","Accessions","WholeGenome","InfectsHumans"
"Candiru phlebovirus","Candiru virus",1,NA,NA,NA,NA,"Candiru phlebovirus",FALSE,FALSE,"da Rosa 1983; 6312820; 21289119; http://jvi.asm.org/content/85/8/3811.short","Olival2017; Woolhouse2018; Internal","Orphan","NC_015374.1; NC_015373.1; NC_015375.1",1,TRUE
"Canid alphaherpesvirus 1","Canid alphaherpesvirus 1",0,NA,NA,NA,NA,"Canid alphaherpesvirus 1",FALSE,NA,"","Olival2017","Carnivore","NC_030117.1",1,FALSE
"Canine mastadenovirus A","Canine mastadenovirus A",0,NA,NA,NA,NA,"Canine mastadenovirus A",FALSE,NA,"","Olival2017","Carnivore","NC_001734.1",1,FALSE
"Canine morbillivirus","Canine distemper virus",0,NA,NA,NA,NA,"Canine morbillivirus",FALSE,FALSE,"NA; Mee et al. 1998; 13273120; 22214864","Olival2017; Woolhouse2018","Carnivore","NC_001921.1",1,TRUE
"Cano Delgadito orthohantavirus","Cano Delgadito orthohantavirus",0,NA,"Automatic match",NA,NA,"Cano Delgadito orthohantavirus",FALSE,NA,"","Olival2017; Woolhouse2018","Rodent","NC_034515.1; NC_034525.1; NC_034528.1",1,FALSE
"Caprine alphaherpesvirus 1","Caprine alphaherpesvirus 1",0,NA,NA,NA,NA,"Caprine alphaherpesvirus 1",FALSE,NA,"","Olival2017","Artiodactyl","AF078728.2",0,FALSE
"Caprine arthritis encephalitis virus","Caprine arthritis encephalitis virus",0,NA,"Automatic match",NA,NA,"Caprine arthritis encephalitis virus",FALSE,NA,"","Olival2017; Woolhouse2018","Artiodactyl","NC_001463.1",1,FALSE
"Caraparu orthobunyavirus","Caraparu orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Caraparu orthobunyavirus",FALSE,FALSE,"de Brito Magalhaes et al. 2007; 13691675; 27074162","Olival2017; Woolhouse2018","NonHumanPrimate","NC_034489.1; NC_034477.1; NC_034478.1",1,TRUE
"Cardiovirus A","Cardiovirus A",0,NA,NA,NA,NA,"Cardiovirus A",FALSE,FALSE,"Oberste et al. 2009; 20340975; 15099508","Olival2017; Woolhouse2018","Rodent","NC_001479.1",1,TRUE
"Cardiovirus B","Cardiovirus B",0,NA,NA,NA,NA,"Cardiovirus B",FALSE,FALSE,"; 14087883; 20410900","Woolhouse2018","Rodent","NC_001366.1",1,TRUE
"Carnivore amdoparvovirus 1","Carnivore amdoparvovirus 1",0,NA,NA,NA,NA,"Carnivore amdoparvovirus 1",FALSE,TRUE,"Jepsen et al. 2009","Olival2017","Carnivore","MF285607.1",1,FALSE
"Carnivore bocaparvovirus 1","Carnivore bocaparvovirus 1",0,NA,NA,NA,NA,"Carnivore bocaparvovirus 1",FALSE,NA,"","Olival2017","Carnivore","NC_004442.1",1,FALSE
"Carnivore protoparvovirus 1","Carnivore protoparvovirus 1",0,NA,NA,NA,NA,"Carnivore protoparvovirus 1",FALSE,NA,"","Olival2017","Carnivore","NC_001539.1",1,FALSE
"Carp sprivivirus","Spring viraemia of carp virus",0,NA,NA,NA,NA,"Carp sprivivirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Fish","NC_002803.1",1,FALSE
"Catu orthobunyavirus","Catu orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Catu orthobunyavirus",FALSE,FALSE,"Zuckerman et al. 2009; 13691675; 204207","Olival2017; Woolhouse2018",NA,"KP792660.1; KP792659.1; KP792658.1",1,TRUE
"Caviid betaherpesvirus 2","Caviid betaherpesvirus 2",0,NA,NA,NA,NA,"Caviid betaherpesvirus 2",FALSE,NA,"","Olival2017","Rodent","NC_020231.1",1,FALSE
"Cedar henipavirus","Cedar virus",0,NA,NA,NA,NA,"Cedar henipavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Pterobat","NC_025351.1",1,FALSE
"Cercopithecine alphaherpesvirus 2","Cercopithecine alphaherpesvirus 2",0,NA,NA,NA,NA,"Cercopithecine alphaherpesvirus 2",FALSE,NA,"","Olival2017","NonHumanPrimate","NC_006560.1",1,FALSE
"Cercopithecine alphaherpesvirus 9","Cercopithecine alphaherpesvirus 9",0,NA,NA,NA,NA,"Cercopithecine alphaherpesvirus 9",FALSE,NA,"","Olival2017","NonHumanPrimate","NC_002686.2",1,FALSE
"Cercopithecine betaherpesvirus 5","Cercopithecine betaherpesvirus 5",0,NA,NA,NA,NA,"Cercopithecine betaherpesvirus 5",FALSE,NA,"","Olival2017","NonHumanPrimate","NC_012783.2",1,FALSE
"Cervid alphaherpesvirus 1","Cervid alphaherpesvirus 1",0,NA,NA,NA,NA,"Cervid alphaherpesvirus 1",FALSE,NA,"","Olival2017","Artiodactyl","MH036942.1",1,FALSE
"Cervid alphaherpesvirus 2","Cervid alphaherpesvirus 2",0,NA,NA,NA,NA,"Cervid alphaherpesvirus 2",FALSE,NA,"","Olival2017","Artiodactyl","MH036943.1",1,FALSE
"Cetacean morbillivirus","Dolphin morbillivirus",0,NA,NA,NA,NA,"Cetacean morbillivirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Cetacean","NC_005283.1",1,FALSE
"Chandipura vesiculovirus","Chandipura virus",1,"Sandfly",NA,NA,NA,"Chandipura vesiculovirus",FALSE,FALSE,"Bhatt and Rodriguez 1967; 4970067; 22721825; http://www.sciencedirect.com/science/article/pii/S1567134809000380","Olival2017; Woolhouse2018; Internal","Orphan","NC_020805.1",1,TRUE
"Changuinola virus","Changuinola virus",1,"Sandfly","Automatic match",NA,NA,"Changuinola virus",FALSE,FALSE,"; da Rosa et al. 1984","Olival2017","Pilosa","NC_022639.1; NC_022633.1; NC_022634.1; NC_022640.1; NC_022635.1; NC_022641.1; NC_022636.1; NC_022637.1; NC_022642.1; NC_022638.1",1,TRUE
"Chapare mammarenavirus","Chapare virus",0,NA,NA,NA,NA,"Chapare mammarenavirus",FALSE,FALSE,"18421377; 12615305; ","Woolhouse2018; Internal","Rodent","NC_010563.1; NC_010562.1",1,TRUE
"Chikungunya virus","Chikungunya epidemic strain (SE Asia) Human",1,"Mosquito",NA,NA,NA,"Chikungunya virus",FALSE,FALSE,"Calisher et al. 1994; 13346078; 20519386; ","Olival2017; Woolhouse2018; Internal","Human","HM045787.1",1,TRUE
"Chobar Gorge virus","Chobar Gorge virus",1,"Tick","Automatic match",NA,NA,"Chobar Gorge virus",FALSE,NA,"","Olival2017; Woolhouse2018","Orphan","NC_027553.1; NC_027554.1; NC_027555.1; NC_027556.1; NC_027557.1; NC_027558.1; NC_027559.1; NC_027560.1; NC_027561.1; NC_027562.1",1,FALSE
"Classical swine fever virus","Classical swine fever virus",0,NA,NA,NA,NA,"Pestivirus C",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_002657.1",1,FALSE
"Coastal Plains tibrovirus","Coastal Plains virus",1,"Midge",NA,NA,NA,"Coastal Plains tibrovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Artiodactyl","NC_025397.1",1,FALSE
"Cocal vesiculovirus","Cocal vesiculovirus",NA,NA,"Automatic match",NA,NA,"Cocal vesiculovirus",FALSE,FALSE,"; 14103231; 21830071","Woolhouse2018",NA,"NC_028255.1",1,TRUE
"Colorado tick fever virus","Colorado tick fever virus",1,"Tick","Automatic match",NA,NA,"Colorado tick fever virus",FALSE,FALSE,"Lambert et al. 2007; 19871512; 17126919","Olival2017; Woolhouse2018","Rodent","NC_004181.1; NC_004182.1; NC_004183.1; NC_004184.1; NC_004185.1; NC_004186.1; NC_004187.1; NC_004188.1; NC_004180.1; NC_004189.1; NC_004191.1; NC_004190.1",1,TRUE
"Common moorhen coronavirus HKU21","Common-moorhen coronavirus HKU21",0,NA,NA,"woo2012",NA,"Common moorhen coronavirus HKU21",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_016996.1",1,FALSE
"Coronavirus HKU15","Porcine coronavirus HKU15",0,NA,NA,NA,NA,"Coronavirus HKU15",FALSE,FALSE,"NA","Woolhouse2018; Internal","Artiodactyl","NC_016990.2",1,FALSE
"Corriparta virus","Corriparta virus",1,"Mosquito","Automatic match",NA,NA,"Corriparta virus",FALSE,TRUE,"Doherty et al. 1970; Available from external site; 19766284; 27213426","Olival2017; Woolhouse2018",NA,"KC853042.1; KC853043.1; KC853044.1; KC853045.1; KC853046.1; KC853047.1; KC853048.1; KC853049.1; KC853050.1; KC853051.1",1,FALSE
"Cowpox virus","Cowpox virus",0,NA,"Automatic match",NA,NA,"Cowpox virus",FALSE,FALSE,"Davies et al. 1938","Olival2017","Rodent","NC_003663.2",1,TRUE
"Crimean-Congo hemorrhagic fever orthonairovirus","Crimean-Congo hemorrhagic fever virus",1,"Tick",NA,NA,NA,"Crimean-Congo hemorrhagic fever orthonairovirus",FALSE,FALSE,"Mourya et al. 2012; 6040759; 22300969; 10747269; ","Olival2017; Woolhouse2018; Internal","Orphan","NC_005301.3; NC_005300.2; NC_005302.1",1,TRUE
"Cupixi mammarenavirus","Cupixi virus",0,NA,NA,NA,NA,"Cupixi mammarenavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Rodent","NC_010252.1; NC_010254.1",1,FALSE
"Curionopolis curiovirus","Curionopolis virus",1,"Midge",NA,NA,NA,"Curionopolis curiovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_025354.1",1,FALSE
"Deltapapillomavirus 1","Deltapapillomavirus 1",0,NA,NA,NA,NA,"Deltapapillomavirus 1",FALSE,NA,"","Olival2017","Artiodactyl","NC_001524.1",1,FALSE
"Deltapapillomavirus 2","Deltapapillomavirus 2",0,NA,NA,NA,NA,"Deltapapillomavirus 2",FALSE,NA,"","Olival2017","Artiodactyl","NC_001523.1",1,FALSE
"Deltapapillomavirus 3","Deltapapillomavirus 3",0,NA,NA,NA,NA,"Deltapapillomavirus 3",FALSE,NA,"","Olival2017","Artiodactyl","NC_001789.1",1,FALSE
"Deltapapillomavirus 4","Deltapapillomavirus 4",0,NA,NA,NA,NA,"Deltapapillomavirus 4",FALSE,NA,"","Olival2017","Artiodactyl","NC_001522.1",1,FALSE
"Dengue virus","Dengue virus 1",1,"Mosquito","Merged",NA,NA,"Dengue virus",FALSE,FALSE,"CDC Arbocat Report 1985; Available from external site; 25052008; http://jgv.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-8-1867#tab2","Olival2017; Woolhouse2018; Internal","Human","NC_001477.1",1,TRUE
"Dera Ghazi Khan orthonairovirus","Dera Ghazi Khan orthonairovirus",1,"Tick","Automatic match",NA,NA,"Dera Ghazi Khan orthonairovirus",FALSE,TRUE,"; Darwish et al. 1983","Olival2017","Orphan","KU925437.1; KU925438.1; KU925439.1",1,FALSE
"Dhori virus","Dhori virus",1,"Tick","Automatic match",NA,NA,"Dhori thogotovirus",FALSE,TRUE,"Darwish et al. 1983; 2864836; 22526290","Olival2017; Woolhouse2018",NA,"NC_034261.1; NC_034263.1; NC_034254.1; NC_034255.1; NC_034262.1; NC_034256.1",1,FALSE
"Dobrava-Belgrade orthohantavirus","Dobrava-Belgrade virus",0,NA,NA,NA,NA,"Dobrava-Belgrade orthohantavirus",FALSE,FALSE,"Gligic et al. 1992; 1351508; 22877560; ","Olival2017; Woolhouse2018; Internal","Rodent","NC_005235.1; NC_005234.1; NC_005233.1",1,TRUE
"Drosophila melanogaster sigmavirus","Drosophila melanogaster sigmavirus",0,"Fruit Fly",NA,NA,NA,"Drosophila melanogaster sigmavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Insect","NC_013135.1",1,FALSE
"Drosophila obscura sigmavirus","Drosophila obscura sigmavirus",0,"Fruit Fly",NA,NA,NA,"Drosophila obscura sigmavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Insect","NC_022580.1",1,FALSE
"Duck picornavirus GL/12","Duck picornavirus GL/12",0,NA,"Unclassified","wang2014",NA,"Aalivirus A",FALSE,FALSE,"NA","Internal","Orphan","NC_023985.1",1,FALSE
"Dugbe orthonairovirus","Dugbe virus",1,"Tick",NA,NA,NA,"Dugbe orthonairovirus",FALSE,FALSE,"Burt et al. 1996; 5409104; 28479064; ","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_004159.1; NC_004158.1; NC_004157.1",1,TRUE
"Duvenhage lyssavirus","Duvenhage virus",0,NA,NA,NA,NA,"Duvenhage lyssavirus",FALSE,FALSE,"Paweska et al. 2006; 5106834; 19636367; ","Olival2017; Woolhouse2018; Internal","Vespbat","NC_020810.1",1,TRUE
"Eastern equine encephalitis virus","Eastern equine encephalitis virus",1,"Mosquito",NA,"arrigo2010",NA,"Eastern equine encephalitis virus",FALSE,FALSE,"Harvala et al. 2009; 17843373; 10466964; http://www.sciencedirect.com/science/article/pii/S0042682214004814","Olival2017; Woolhouse2018; Internal","Passeriformes","NC_003899.1",1,TRUE
"Ectromelia virus","Ectromelia virus",0,NA,"Automatic match",NA,NA,"Ectromelia virus",FALSE,NA,"","Olival2017","Rodent","NC_004105.1",1,FALSE
"Eggplant mottled dwarf nucleorhabdovirus","Eggplant mottled dwarf virus",1,"Leafhopper",NA,NA,NA,"Eggplant mottled dwarf nucleorhabdovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Plant","NC_025389.1",1,FALSE
"Eilat virus","Eilat virus",0,"Mosquito",NA,NA,NA,"Eilat virus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Insect","NC_018615.1",1,FALSE
"El Moro Canyon orthohantavirus","El Moro Canyon orthohantavirus",0,NA,"Automatic match",NA,NA,"El Moro Canyon orthohantavirus",FALSE,NA,"","Olival2017; Woolhouse2018","Rodent","U26828.1; U11427.1",0,FALSE
"Entebbe bat virus","Entebbe bat virus",NA,NA,NA,NA,NA,"Entebbe bat virus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Vespbat","NC_008718.1",1,FALSE
"Enterovirus A","Enterovirus A71",0,NA,NA,NA,NA,"Enterovirus A",FALSE,FALSE,"http://jech.bmj.com/content/68/6/500.full?ijkey=2cfaa29957c214e92eb7a5594bdff7b4c0865b7e&keytype2=tf_ipsecsha; Oberste 2004; 15391667; 5415578","Olival2017; Woolhouse2018","Human","KU254596.1",1,TRUE
"Enterovirus B","Human enterovirus 107",0,NA,NA,NA,NA,"Enterovirus B",FALSE,FALSE,"http://www.sciencedirect.com/science/article/pii/S0168170207001190; Gomes et al. 2009; 15391667; 26053872","Olival2017; Woolhouse2018","Human","AB426609.1",1,TRUE
"Enterovirus C","Human poliovirus 2",0,NA,"Merged",NA,NA,"Enterovirus C",FALSE,FALSE,"http://www.sciencedirect.com/science/article/pii/S0168170207001190; Romanenkova et al. 2011; Available from external site; 9203732","Olival2017; Woolhouse2018","Human","KJ170575.1",1,TRUE
"Enterovirus D","Enterovirus D",0,NA,NA,NA,NA,"Enterovirus D",FALSE,FALSE,"Schieble et al. 1967; 4960233; 28367789","Olival2017; Woolhouse2018","Human","NC_001430.1",1,TRUE
"Enterovirus G","Enterovirus G",0,NA,NA,NA,NA,"Enterovirus G",FALSE,NA,"","Olival2017; Woolhouse2018","Artiodactyl","NC_004441.1",1,FALSE
"Enterovirus H","Enterovirus H",0,NA,NA,NA,NA,"Enterovirus H",FALSE,NA,"","Olival2017; Woolhouse2018","NonHumanPrimate","NC_003988.1",1,FALSE
"Enterovirus I","Dromedary camel enterovirus",0,NA,"Strain",NA,NA,"Enterovirus I",FALSE,NA,"","Woolhouse2018","Artiodactyl","KP345887.1",1,FALSE
"Epizootic hemorrhagic disease virus","Epizootic hemorrhagic disease virus",1,"Midge","Automatic match",NA,NA,"Epizootic hemorrhagic disease virus",FALSE,NA,"","Olival2017; Woolhouse2018","Artiodactyl","NC_013396.1; NC_013397.1; NC_013398.1; NC_013399.1; NC_013400.1; NC_013401.1; NC_013403.1; NC_013402.1; NC_013404.1; NC_013405.1",1,FALSE
"Epsilonpapillomavirus 1","Epsilonpapillomavirus 1",0,NA,NA,NA,NA,"Epsilonpapillomavirus 1",FALSE,NA,"","Olival2017","Artiodactyl","NC_004195.1",1,FALSE
"Equid alphaherpesvirus 1","Equid alphaherpesvirus 1",0,NA,NA,NA,NA,"Equid alphaherpesvirus 1",FALSE,NA,"","Olival2017","Perissodactyla","NC_001491.2",1,FALSE
"Equid alphaherpesvirus 3","Equid alphaherpesvirus 3",0,NA,NA,NA,NA,"Equid alphaherpesvirus 3",FALSE,NA,"","Olival2017","Perissodactyla","NC_024771.1",1,FALSE
"Equid alphaherpesvirus 4","Equid alphaherpesvirus 4",0,NA,NA,NA,NA,"Equid alphaherpesvirus 4",FALSE,NA,"","Olival2017","Perissodactyla","NC_001844.1",1,FALSE
"Equid alphaherpesvirus 8","Equid alphaherpesvirus 8",0,NA,NA,NA,NA,"Equid alphaherpesvirus 8",FALSE,NA,"","Olival2017","Perissodactyla","NC_017826.1",1,FALSE
"Equid alphaherpesvirus 9","Equid alphaherpesvirus 9",0,NA,NA,NA,NA,"Equid alphaherpesvirus 9",FALSE,NA,"","Olival2017","Perissodactyla","NC_011644.1",1,FALSE
"Equid gammaherpesvirus 2","Equid gammaherpesvirus 2",0,NA,NA,NA,NA,"Equid gammaherpesvirus 2",FALSE,NA,"","Olival2017","Perissodactyla","NC_001650.2",1,FALSE
"Equid gammaherpesvirus 5","Equid gammaherpesvirus 5",0,NA,NA,NA,NA,"Equid gammaherpesvirus 5",FALSE,NA,"","Olival2017","Perissodactyla","NC_026421.1",1,FALSE
"Equine arteritis virus","Equine arteritis virus",0,NA,"Automatic match",NA,NA,"Alphaarterivirus equid",FALSE,NA,"","Olival2017; Woolhouse2018","Perissodactyla","NC_002532.2",1,FALSE
"Equine encephalosis virus","Equine encephalosis virus",1,"Midge","Automatic match",NA,NA,"Equine encephalosis virus",FALSE,NA,"","Olival2017; Woolhouse2018","Perissodactyla","FJ183384.1; FJ183385.1; FJ183386.1; FJ183387.1; FJ183388.1; FJ183389.1; FJ183390.1; FJ183391.1; FJ183392.1; FJ183393.1",1,FALSE
"Equine foamy virus","Equine foamy virus",0,NA,"Automatic match",NA,NA,"Equine foamy virus",FALSE,NA,"","Olival2017; Woolhouse2018","Perissodactyla","NC_002201.1",1,FALSE
"Equine infectious anemia virus","Equine infectious anemia virus",1,"Diptera","Automatic match",NA,NA,"Equine infectious anemia virus",FALSE,NA,"","Olival2017; Woolhouse2018","Perissodactyla","NC_001450.1",1,FALSE
"Equine mastadenovirus A","Equine mastadenovirus A",0,NA,NA,NA,NA,"Equine mastadenovirus A",FALSE,NA,"","Olival2017","Perissodactyla","NC_030792.1",1,FALSE
"Equine mastadenovirus B","Equine mastadenovirus B",0,NA,NA,NA,NA,"Equine mastadenovirus B",FALSE,NA,"","Olival2017","Perissodactyla","NC_027705.1",1,FALSE
"Equine rhinitis A virus","Equine rhinitis A virus",0,NA,"Automatic match",NA,NA,"Equine rhinitis A virus",FALSE,TRUE,"; 14487261; 15778036","Woolhouse2018","Perissodactyla","NC_003982.1",1,FALSE
"Equine torovirus","Equine torovirus",0,NA,"Automatic match",NA,NA,"Equine torovirus",FALSE,NA,"","Olival2017; Woolhouse2018","Perissodactyla","MG996765.1",1,FALSE
"Erbovirus A","Erbovirus A",0,NA,NA,NA,NA,"Erbovirus A",FALSE,TRUE,"; 15778036; 15778036","Woolhouse2018","Perissodactyla","NC_003983.1",1,FALSE
"Eubenangee virus","Eubenangee virus",1,"Midge","Automatic match",NA,NA,"Eubenangee virus",FALSE,NA,"","Olival2017; Woolhouse2018",NA,"JQ070376.1; JQ070377.1; JQ070378.1; JQ070379.1; JQ070380.1; JQ070381.1; JQ070382.1; JQ070383.1; JQ070384.1; JQ070385.1",1,FALSE
"European bat 1 lyssavirus","European bat lyssavirus 1",0,NA,NA,NA,NA,"European bat 1 lyssavirus",FALSE,FALSE,"Fooks et al. 2003; 2576595; 18205973; ","Olival2017; Woolhouse2018; Internal","Vespbat","NC_009527.1",1,TRUE
"European bat 2 lyssavirus","European bat lyssavirus 2",0,NA,NA,NA,NA,"European bat 2 lyssavirus",FALSE,FALSE,"Fooks et al. 2003; 2868310; 18205973; ","Olival2017; Woolhouse2018; Internal","Vespbat","NC_009528.2",1,TRUE
"European brown hare syndrome virus","European brown hare syndrome virus",0,NA,NA,NA,NA,"European brown hare syndrome virus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Lagomorph","NC_002615.1",1,FALSE
"Everglades virus","Everglades virus",1,"Mosquito","Automatic match",NA,NA,"Everglades virus",FALSE,FALSE,"Calisher et al. 1980; 5410814; 17326938","Olival2017; Woolhouse2018","Rodent","AF075251.1",1,TRUE
"Eyach virus","Eyach virus",1,"Tick","Automatic match",NA,NA,"Eyach virus",FALSE,TRUE,"; 6106383; 6508529; 22526290","Woolhouse2018","Orphan","NC_003696.1; NC_003697.1; NC_003698.1; NC_003699.1; NC_003700.1; NC_003701.1; NC_003702.1; NC_003703.1; NC_003704.1; NC_003705.1; NC_003706.1; NC_003707.1",1,FALSE
"Felid alphaherpesvirus 1","Felid alphaherpesvirus 1",0,NA,NA,NA,NA,"Felid alphaherpesvirus 1",FALSE,NA,"","Olival2017","Carnivore","NC_013590.2",1,FALSE
"Feline calicivirus","Feline calicivirus",0,NA,NA,NA,NA,"Feline calicivirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Carnivore","NC_001481.2",1,FALSE
"Feline foamy virus","Feline foamy virus",0,NA,"Automatic match",NA,NA,"Feline foamy virus",FALSE,NA,"","Olival2017; Woolhouse2018","Carnivore","NC_001871.1",1,FALSE
"Feline immunodeficiency virus","Feline immunodeficiency virus",0,NA,"Automatic match",NA,NA,"Feline immunodeficiency virus",FALSE,NA,"","Olival2017; Woolhouse2018","Carnivore","NC_001482.1",1,FALSE
"Feline leukemia virus","Feline leukemia virus",0,NA,"Automatic match",NA,NA,"Feline leukemia virus",FALSE,NA,"","Olival2017; Woolhouse2018","Carnivore","NC_001940.1",1,FALSE
"Feline morbillivirus","Feline morbillivirus",0,NA,NA,NA,NA,"Feline morbillivirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Carnivore","NC_025264.1",1,FALSE
"Ferak orthoferavirus","Ferak virus",0,"Mosquito",NA,NA,NA,"Ferak feravirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Insect","KP710246.1; KP710264.1; KP710267.1",1,FALSE
"Fikirini ledantevirus","Fikirini bat rhabdovirus",0,NA,NA,NA,NA,"Fikirini ledantevirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Pterobat","NC_025341.1",1,FALSE
"Flexal mammarenavirus","Flexal virus",0,NA,NA,NA,NA,"Flexal mammarenavirus",FALSE,FALSE,"; CDC ArboCat; ","Olival2017; Internal","Rodent","NC_010759.1; NC_010757.1",1,TRUE
"Foot-and-mouth disease virus","Foot-and-mouth disease virus - type O",0,NA,NA,NA,NA,"Foot-and-mouth disease virus",FALSE,FALSE,"NA; Ghoneim et al. 2010; 4290196; 18834510","Olival2017; Woolhouse2018","Artiodactyl","NC_004004.1",1,TRUE
"Fort Morgan virus","Fort Morgan virus",1,"Cimicid","Merged","allison2015",NA,"Fort Morgan virus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Passeriformes","NC_013528.1",1,FALSE
"Gairo mammarenavirus","Gairo virus",0,NA,NA,NA,NA,"Gairo mammarenavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Rodent","NC_026247.1; NC_026246.1",1,FALSE
"Gammapapillomavirus 1","Human papillomavirus 4",0,NA,NA,NA,NA,"Gammapapillomavirus 1",FALSE,FALSE,"Gissman et al. 1977","Olival2017","Human","NC_001457.1",1,TRUE
"Gammapapillomavirus 2","Gammapapillomavirus 2",0,NA,NA,NA,NA,"Gammapapillomavirus 2",FALSE,FALSE,"Muller et al. 1989","Olival2017","Human","NC_001690.1",1,TRUE
"Gammapapillomavirus 3","Gammapapillomavirus 3",0,NA,NA,NA,NA,"Gammapapillomavirus 3",FALSE,FALSE,"Favre et al. 1989","Olival2017","Human","NC_001691.1",1,TRUE
"Gammapapillomavirus 4","Gammapapillomavirus 4",0,NA,NA,NA,NA,"Gammapapillomavirus 4",FALSE,FALSE,"Matsukura et al. 1992","Olival2017","Human","NC_001693.1",1,TRUE
"Gammapapillomavirus 5","Gammapapillomavirus 5",0,NA,NA,NA,NA,"Gammapapillomavirus 5",FALSE,FALSE,"Kullander et al. 2008","Olival2017","Human","NC_010329.1",1,TRUE
"Getah virus","Getah virus",1,"Mosquito",NA,NA,NA,"Getah virus",FALSE,FALSE,"NA; Attoui et al. 2007; 4214338; 23268691","Olival2017; Woolhouse2018","Orphan","NC_006558.1",1,TRUE
"Ghanaian bat henipavirus","Bat Paramyxovirus Eid_hel",0,NA,NA,NA,NA,"Ghanaian bat henipavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Pterobat","NC_025256.1",1,FALSE
"Gibbon ape leukemia virus","Gibbon ape leukemia virus",0,NA,"Automatic match",NA,NA,"Gibbon ape leukemia virus",FALSE,TRUE,"; Aoki et al. 1976","Olival2017","NonHumanPrimate","KT724048.1",1,FALSE
"Goatpox virus","Goatpox virus",0,NA,"Automatic match",NA,NA,"Goatpox virus",FALSE,NA,"","Olival2017","Artiodactyl","NC_004003.1",1,FALSE
"Alethinophid 1 reptarenavirus","Golden Gate virus",0,NA,NA,NA,NA,"Golden reptarenavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Reptile","NC_018482.1; NC_018483.1",1,FALSE
"Gorilline gammaherpesvirus 1","Gorilline gammaherpesvirus 1",0,NA,NA,NA,NA,"Gorilline gammaherpesvirus 1",FALSE,NA,"","Olival2017","NonHumanPrimate","AJ581752.1",0,FALSE
"Gouleako goukovirus","Gouleako virus",0,"Mosquito",NA,NA,NA,"Gouleako goukovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Insect","HQ541738.1; HQ541737.1; HQ541736.1",1,FALSE
"Great Island virus","Great Island virus",1,"Tick","Automatic match","nunn2005",NA,"Great Island virus",FALSE,FALSE,"Belhouchet et al. 2010; 14071281; 26350980; 16216136","Olival2017; Woolhouse2018","Charadriiformes","NC_014522.1; NC_014523.1; NC_014524.1; NC_014525.1; NC_014526.1; NC_014527.1; NC_014528.1; NC_014529.1; NC_014530.1; NC_014531.1",1,TRUE
"Ground squirrel hepatitis virus","Ground squirrel hepatitis virus",0,NA,"Strain",NA,NA,"Ground squirrel hepatitis virus",FALSE,NA,"","Olival2017","Rodent","NC_001484.1",1,FALSE
"Guama orthobunyavirus","Guama orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Guama orthobunyavirus",FALSE,FALSE,"Zuckerman et al. 2009; 13691675; 234206","Olival2017; Woolhouse2018",NA,"KP792666.1; KP792665.1; KP792664.1",1,TRUE
"Guanarito mammarenavirus","Guanarito virus",0,NA,NA,NA,NA,"Guanarito mammarenavirus",FALSE,FALSE,"Abraham et al. 2009; 1681354; 8166352; 12615305; ","Olival2017; Woolhouse2018; Internal","Rodent","NC_005082.1; NC_005077.1",1,TRUE
"Guaroa orthobunyavirus","Guaroa orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Guaroa orthobunyavirus",FALSE,FALSE,"Groot et al. 1959; 13851794; 20810845","Olival2017; Woolhouse2018","Orphan","NC_034487.1; NC_034506.1; NC_034486.1",1,TRUE
"Hantaan orthohantavirus","Hantaan virus",0,NA,NA,NA,NA,"Hantaan orthohantavirus",FALSE,FALSE,"Grygorczuk et al. 2008; 24670; 18305044; ","Olival2017; Woolhouse2018; Internal","Rodent","NC_005218.1",1,TRUE
