Babayan,Olival,Woolhouse,UniversalName,OtherTaxonomicInfo,Comments,Remove,RemoveComment,SppName_ICTV_MSL2018b
,Equid herpesvirus 2,,Equid gammaherpesvirus 2,,,NA,,Equid gammaherpesvirus 2
,Equid herpesvirus 5,,Equid gammaherpesvirus 5,,,NA,,Equid gammaherpesvirus 5
,Equid herpesvirus 7,,Equid gammaherpesvirus 7,,,NA,,Equid gammaherpesvirus 7
,Equine encephalosis virus,,Equine encephalosis virus,Automatic match,,NA,,Equine encephalosis virus
,Equine foamy virus,,Equine foamy virus,Automatic match,,NA,,Equine foamy virus
,Equine infectious anemia virus,,Equine infectious anemia virus,Automatic match,,NA,,Equine infectious anemia virus
,Equine adenovirus A,,Equine mastadenovirus A,,,NA,,Equine mastadenovirus A
,Equine adenovirus B,,Equine mastadenovirus B,,,NA,,Equine mastadenovirus B
,Equine rhinitis A virus,Equine rhinitis A virus ,Equine rhinitis A virus,Automatic match,,NA,,Equine rhinitis A virus
,Equine torovirus,,Equine torovirus,Automatic match,,NA,,Equine torovirus
,Equine rhinitis B virus,Erbovirus A,Erbovirus A,,,NA,,Erbovirus A
,Eubenangee virus,,Eubenangee virus,Automatic match,,NA,,Eubenangee virus
European bat lyssavirus 1,European bat lyssavirus 1,European bat 1 lyssavirus,European bat 1 lyssavirus,,,NA,,European bat 1 lyssavirus
European bat lyssavirus 2,European bat lyssavirus 2,European bat 2 lyssavirus,European bat 2 lyssavirus,,,NA,,European bat 2 lyssavirus
European brown hare syndrome virus,European brown hare syndrome virus,,European brown hare syndrome virus,,,NA,,European brown hare syndrome virus
,Everglades virus,Everglades virus ,Everglades virus,Automatic match,,NA,,Everglades virus
,Eyach virus,Eyach virus,Eyach virus,Automatic match,,NA,,Eyach virus
,Felid herpesvirus 1,,Felid alphaherpesvirus 1,,,NA,,Felid alphaherpesvirus 1
Feline calicivirus,Feline calicivirus,,Feline calicivirus,,,NA,,Feline calicivirus
,Feline foamy virus,,Feline foamy virus,Automatic match,,NA,,Feline foamy virus
,Feline immunodeficiency virus,,Feline immunodeficiency virus,Automatic match,,NA,,Feline immunodeficiency virus
,Feline leukemia virus,,Feline leukemia virus,Automatic match,,NA,,Feline leukemia virus
Feline morbillivirus,,,Feline morbillivirus,,,NA,,Feline morbillivirus
Ferak virus,,,Ferak orthoferavirus,,,NA,,Ferak feravirus
Fikirini bat rhabdovirus,,,Fikirini ledantevirus,,No match in ICTV taxonomy; Listed as a strain/isolate on NCBI,NA,,Fikirini ledantevirus
Flexal virus,Flexal virus,,Flexal mammarenavirus,,,NA,,Flexal mammarenavirus
Foot-and-mouth disease virus - type A,Foot-and-mouth disease virus,Foot-and-mouth disease virus ,Foot-and-mouth disease virus,,,NA,,Foot-and-mouth disease virus
Buggy Creek virus,,,Fort Morgan virus,Merged,,TRUE,"Duplicate (data identical, K80 distance between sequences in Babayan data only 0.039)",Fort Morgan virus
Fort Morgan virus,,,Fort Morgan virus,Merged,,NA,,Fort Morgan virus
,,Gadgets Gully virus,Gadgets Gully virus,Automatic match,,NA,,Gadgets Gully virus
Gairo virus,,,Gairo mammarenavirus,,,NA,,Gairo mammarenavirus
,Lactate dehydrogenase-elevating virus,,Lactate dehydrogenase-elevating virus,Automatic match,,NA,,Gammaarterivirus lacdeh
,Human papillomavirus 4,,Gammapapillomavirus 1,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Gammapapillomavirus 1
,Human papillomavirus 48,,Gammapapillomavirus 2,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Gammapapillomavirus 2
,Human papillomavirus 50,,Gammapapillomavirus 3,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Gammapapillomavirus 3
,Human papillomavirus 60,,Gammapapillomavirus 4,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Gammapapillomavirus 4
,Human papillomavirus 88,,Gammapapillomavirus 5,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Gammapapillomavirus 5
Getah virus,Getah virus,Getah virus ,Getah virus,,,NA,,Getah virus
Bat Paramyxovirus Eid_hel,,,Ghanaian bat henipavirus,,No match in ICTV taxonomy; Listed as a strain on NCBI,NA,,Ghanaian bat henipavirus
,Gibbon ape leukemia virus,,Gibbon ape leukemia virus,Automatic match,,NA,,Gibbon ape leukemia virus
,Goatpox virus,,Goatpox virus,Automatic match,,NA,,Goatpox virus
Golden Gate virus,,,Alethinophid 1 reptarenavirus,,No match in ICTV taxonomy; Comes up as (the only) strain of Alethinophid 1 reptarenavirus on NCBI,NA,,Golden reptarenavirus
,Pongine herpesvirus 3,,Gorilline gammaherpesvirus 1,,,NA,,Gorilline gammaherpesvirus 1
Gouleako virus,,,Gouleako goukovirus,,,NA,,Gouleako goukovirus
,Great Island virus,Great Island virus ,Great Island virus,Automatic match,,NA,,Great Island virus
,African green monkey simian foamy virus,African green monkey simian foamy virus,African green monkey simian foamy virus,Automatic match,,NA,,Grivet simian foamy virus
,Arctic squirrel hepatitis virus,,Ground squirrel hepatitis virus,Strain,No match on ICTV; Listed as a type/strain on NCBI,NA,,Ground squirrel hepatitis virus
,Ground squirrel hepatitis virus,,Ground squirrel hepatitis virus,Strain,"POSSIBLE DUPLICATE, but hosts differ (if sequences are similar – merge host data)",NA,,Ground squirrel hepatitis virus
Groundnut bud necrosis virus,,,Groundnut bud necrosis orthotospovirus,,,NA,,Groundnut bud necrosis tospovirus
,Guama virus,Guama orthobunyavirus,Guama orthobunyavirus,Automatic match,,NA,,Guama orthobunyavirus
Guanarito virus,Guanarito virus,Guanarito mammarenavirus,Guanarito mammarenavirus,,,NA,,Guanarito mammarenavirus
,Guaroa virus,Guaroa orthobunyavirus ,Guaroa orthobunyavirus,Automatic match,,NA,,Guaroa orthobunyavirus
,Guinea pig type-C oncovirus,,Guinea pig type-C oncovirus,Automatic match,,NA,,Guinea pig type-C oncovirus
Hantaan virus,Hantaan virus,Hantaan orthohantavirus ,Hantaan orthohantavirus,,,NA,,Hantaan orthohantavirus
,Hare fibroma virus,,Hare fibroma virus,Automatic match,,NA,,Hare fibroma virus
Falcovirus A1,,,Harkavirus A,,No match in ICTV taxonomy; Listed as a strain/isolate on NCBI,NA,,Harkavirus A
Betacoronavirus Erinaceus,,,Hedgehog coronavirus 1,,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Hedgehog coronavirus 1
Hendra virus,Hendra virus,Hendra henipavirus ,Hendra henipavirus,,,NA,,Hendra henipavirus
Hepatitis C virus,Hepatitis C virus,Hepacivirus C,Hepacivirus C,,,NA,,Hepacivirus C
,Hepatitis B virus,,Hepatitis B virus,Automatic match,,NA,,Hepatitis B virus
,Hepatitis delta virus,Hepatitis delta virus ,Hepatitis delta virus,Automatic match,,NA,,Hepatitis delta virus
,Hepatitis A virus,Hepatovirus A,Hepatovirus A,,,NA,,Hepatovirus A
Phopivirus,,,Hepatovirus B,,No match in ICTV taxonomy; Listed as a strain/isolate on NCBI,NA,,Hepatovirus B
Herbert virus,,,Herbert herbevirus,,,NA,,Herbert herbevirus
Highlands J virus,Highlands J virus,Highlands J virus,Highlands J virus,,,NA,,Highlands J virus
,Hippotragine herpesvirus 1,,Hippotragine gammaherpesvirus 1,,,NA,,Hippotragine gammaherpesvirus 1
Hirame rhabdovirus,,,Hirame novirhabdovirus,,,NA,,Hirame novirhabdovirus
Severe fever with thrombocytopenia syndrome virus,,SFTS phlebovirus,SFTS phlebovirus,,,NA,,Huaiyangshan banyangvirus
,Human herpesvirus 1,,Human alphaherpesvirus 1,,,NA,,Human alphaherpesvirus 1
,Human herpesvirus 2,,Human alphaherpesvirus 2,,,NA,,Human alphaherpesvirus 2
,Human herpesvirus 3,,Human alphaherpesvirus 3,,,NA,,Human alphaherpesvirus 3
,Human herpesvirus 5,,Human betaherpesvirus 5,,,NA,,Human betaherpesvirus 5
,Human herpesvirus 7,,Human betaherpesvirus 7,,,NA,,Human betaherpesvirus 7
Alpaca respiratory coronavirus,,,Human coronavirus 229E,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Human coronavirus 229E
Camel alphacoronavirus,,,Human coronavirus 229E,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Human coronavirus 229E
Human coronavirus 229E,Human coronavirus 229E,Human coronavirus 229E ,Human coronavirus 229E,,Checked for duplication – host differs (though sequences very similar),NA,,Human coronavirus 229E
Human coronavirus HKU1,,Human coronavirus HKU1,Human coronavirus HKU1,,,NA,,Human coronavirus HKU1
Human coronavirus NL63,,Human coronavirus NL63,Human coronavirus NL63,,,NA,,Human coronavirus NL63
,Human herpesvirus 4,,Human gammaherpesvirus 4,,,NA,,Human gammaherpesvirus 4
,Human herpesvirus 8,,Human gammaherpesvirus 8,,,NA,,Human gammaherpesvirus 8
,Human immunodeficiency virus 1,Human immunodeficiency virus 1 ,Human immunodeficiency virus 1,Automatic match,,NA,,Human immunodeficiency virus 1
,Human immunodeficiency virus 2,Human immunodeficiency virus 2 ,Human immunodeficiency virus 2,Automatic match,,NA,,Human immunodeficiency virus 2
,Human adenovirus A,,Human mastadenovirus A,,,NA,,Human mastadenovirus A
,Human adenovirus B,,Human mastadenovirus B,,,NA,,Human mastadenovirus B
,Human adenovirus C,,Human mastadenovirus C,,,NA,,Human mastadenovirus C
,Human adenovirus D,,Human mastadenovirus D,,,NA,,Human mastadenovirus D
,Human adenovirus E,,Human mastadenovirus E,,,NA,,Human mastadenovirus E
,Human adenovirus F,,Human mastadenovirus F,,,NA,,Human mastadenovirus F
Human metapneumovirus,Human metapneumovirus,Human metapneumovirus,Human metapneumovirus,,,NA,,Human metapneumovirus
Human respiratory syncytial virus,Human respiratory syncytial virus,Human orthopneumovirus ,Human orthopneumovirus,,,NA,,Human orthopneumovirus
,Human picobirnavirus,Human picobirnavirus ,Human picobirnavirus,Automatic match,,NA,,Human picobirnavirus
,BK polyomavirus,,Human polyomavirus 1,,,NA,,Human polyomavirus 1
,JC polyomavirus,,Human polyomavirus 2,,,NA,,Human polyomavirus 2
Human parainfluenza virus 1,Human parainfluenza virus 1,Human respirovirus 1 ,Human respirovirus 1,,,NA,,Human respirovirus 1
Human parainfluenza virus 3,Human parainfluenza virus 3,Human respirovirus 3 ,Human respirovirus 3,,,NA,,Human respirovirus 3
Ikoma lyssavirus,,,Ikoma lyssavirus,,,NA,,Ikoma lyssavirus
Ilheus virus,Ilheus virus,Ilheus virus ,Ilheus virus,,,NA,,Ilheus virus
Impatiens necrotic spot virus,,,Impatiens necrotic spot orthotospovirus,,,NA,,Impatiens necrotic spot tospovirus
Vesicular stomatitis Indiana virus,Vesicular stomatitis Indiana virus,Indiana vesiculovirus ,Indiana vesiculovirus,,,NA,,Indiana vesiculovirus
,Influenza A virus,Influenza A virus,Influenza A virus,Automatic match,,NA,,Influenza A virus
,Influenza A virus,Influenza A virus,Influenza A virus,Automatic match,,NA,,Influenza A virus
,Influenza A virus,Influenza A virus,Influenza A virus,Automatic match,,NA,,Influenza A virus
,Influenza A virus,Influenza A virus,Influenza A virus,Automatic match,,NA,,Influenza A virus
,Influenza B virus,Influenza B virus ,Influenza B virus,Automatic match,,NA,,Influenza B virus
,Influenza C virus,Influenza C virus  ,Influenza C virus,Automatic match,,NA,,Influenza C virus
,Mastomys natalensis papillomavirus,,Iotapapillomavirus 1,,,NA,,Iotapapillomavirus 1
Ippy virus,Ippy virus,,Ippy mammarenavirus,,,NA,,Ippy mammarenavirus
Irkut virus,Irkut virus,Irkut lyssavirus,Irkut lyssavirus,,,NA,,Irkut lyssavirus
Isfahan virus,Isfahan virus,Isfahan vesiculovirus,Isfahan vesiculovirus,,,NA,,Isfahan vesiculovirus
,Jaagsiekte sheep retrovirus,,Jaagsiekte sheep retrovirus,Automatic match,,NA,,Jaagsiekte sheep retrovirus
Japanese encephalitis virus,Japanese encephalitis virus,Japanese encephalitis virus ,Japanese encephalitis virus,,,NA,,Japanese encephalitis virus
Jonchet virus,,,Jonchet orthojonvirus,,,NA,,Jonchet jonvirus
,Jugra virus,,Jugra virus,Automatic match,,NA,,Jugra virus
Jurona virus,Jurona virus,,Jurona vesiculovirus,,,NA,,Jurona vesiculovirus
Jutiapa virus,Jutiapa virus,,Jutiapa virus,,,NA,,Jutiapa virus
,Kaeng Khoi virus,,Kaeng Khoi orthobunyavirus,Automatic match,,NA,,Kaeng Khoi orthobunyavirus
,Kairi virus,Kairi orthobunyavirus,Kairi orthobunyavirus,Automatic match,,NA,,Kairi orthobunyavirus
,Rabbit oral papillomavirus,,Kappapapillomavirus 1,,,NA,,Kappapapillomavirus 1
,Cottontail rabbit papillomavirus,,Kappapapillomavirus 2,,,NA,,Kappapapillomavirus 2
,Kasokero virus,,Kasokero orthonairovirus,Automatic match,,NA,,Kasokero orthonairovirus
,Yogue virus,,Kasokero orthonairovirus,,"Unclassified on NCBI, but recent publication lists it as a strain of Kasokero orthonairovirus (https://doi.org/10.1007/s00705-018-04127-3)",NA,,Kasokero orthonairovirus
Kedougou virus,,,Kedougou virus,,,NA,,Kedougou virus
,Kern Canyon virus,,Kern Canyon ledantevirus,Automatic match,,NA,,Kern Canyon ledantevirus
,Keuraliba virus,,Keuraliba ledantevirus,Automatic match,,NA,,Keuraliba ledantevirus
,Topografov virus,,Khabarovsk orthohantavirus,Merged,"Listed as abolished in 2016 on ICTV taxonomy search, but linked document makes it a strain (see https://data.ictvonline.org/proposals/2016.023a-cM.A.v2.Hantavirus_sprev.pdf)",NA,,Khabarovsk orthohantavirus
,Khabarovsk virus,,Khabarovsk orthohantavirus,Merged,Checked for duplication – host differs from Topografov virus,NA,,Khabarovsk orthohantavirus
Khujand virus,Khujand virus,,Khujand lyssavirus,,,NA,,Khujand lyssavirus
Kimberley virus,,,Kimberley ephemerovirus,,,NA,,Kimberley ephemerovirus
Kokobera virus,Kokobera virus,Kokobera virus ,Kokobera virus,,,NA,,Kokobera virus
Kolente virus,,,Kolente ledantevirus,,,NA,,Kolente ledantevirus
,Koongol virus,,Koongol orthobunyavirus,Automatic match,,NA,,Koongol orthobunyavirus
Kotonkan virus,Kotonkan virus,,Kotonkan ephemerovirus,,,NA,,Kotonkan ephemerovirus
,Koutango virus,,Koutango virus,Automatic match,,NA,,Koutango virus
Alkhumra hemorrhagic fever virus,,,Kyasanur Forest disease virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,TRUE,"Data identical to Kyasanur Forest disease virus, except that host is unknown (orphan); K80 distance is only 0.078",Kyasanur Forest disease virus
Kyasanur forest disease virus,Kyasanur Forest disease virus,Kyasanur forest disease virus ,Kyasanur Forest disease virus,,,NA,,Kyasanur Forest disease virus
Lagos bat virus,Lagos bat virus,,Lagos bat lyssavirus,,,NA,,Lagos bat lyssavirus
,Rio Mamore virus,,Laguna Negra orthohantavirus,Merged,"Listed as abolished in 2016 on ICTV taxonomy search, but linked document makes it a strain (see https://data.ictvonline.org/proposals/2016.023a-cM.A.v2.Hantavirus_sprev.pdf)",NA,,Laguna Negra orthohantavirus
,Laguna Negra virus,Laguna Negra orthohantavirus,Laguna Negra orthohantavirus,Merged,Checked for duplication – hosts only partially overlap with Rio Mamore virus,NA,,Laguna Negra orthohantavirus
,Feline papillomavirus,,Lambdapapillomavirus 1,,,NA,,Lambdapapillomavirus 1
,Canine oral papillomavirus,,Lambdapapillomavirus 2,,,NA,,Lambdapapillomavirus 2
Langat virus,,Langat virus,Langat virus,,,NA,,Langat virus
,Langur virus,,Langur virus,Automatic match,,NA,,Langur virus
Lassa virus,Lassa virus,Lassa mammarenavirus,Lassa mammarenavirus,,,NA,,Lassa mammarenavirus
Latino virus,Latino virus,,Latino mammarenavirus,,,NA,,Latino mammarenavirus
,Lebombo virus,Lebombo virus ,Lebombo virus,Automatic match,,NA,,Lebombo virus
Lettuce necrotic yellows virus,,,Lettuce necrotic yellows cytorhabdovirus,,,NA,,Lettuce necrotic yellows cytorhabdovirus
Lettuce yellow mottle virus,,,Lettuce yellow mottle cytorhabdovirus,,,NA,,Lettuce yellow mottle cytorhabdovirus
Fathead minnow picornavirus,,,Limnipivirus C,,No match in ICTV taxonomy; Listed as a strain/isolate on NCBI,NA,,Limnipivirus C
Lloviu cuevavirus,,,Lloviu cuevavirus,,,NA,,Lloviu cuevavirus
Loie River virus,,,Loei River mammarenavirus,,Loie/Loei River virus are synonyms according to NCBI taxonomy; only Loei river virus returns a result on ICTV,NA,,Loei River mammarenavirus
Louping ill virus,Louping ill virus,Louping ill virus ,Louping ill virus,,,NA,,Louping ill virus
Lujo virus,,Lujo mammarenavirus,Lujo mammarenavirus,,,NA,,Lujo mammarenavirus
,Lumpy skin disease virus,,Lumpy skin disease virus,Automatic match,,NA,,Lumpy skin disease virus
Luna virus,,,Luna mammarenavirus,,,NA,,Luna mammarenavirus
Lunk virus NKS-1,,,Lunk mammarenavirus,,,NA,,Lunk mammarenavirus
Lymphocytic choriomeningitis virus,Lymphocytic choriomeningitis virus,Lymphocytic choriomeningitis mammarenavirus,Lymphocytic choriomeningitis mammarenavirus,,,NA,,Lymphocytic choriomeningitis mammarenavirus
,Simian virus 40,,Macaca mulatta polyomavirus 1,,,NA,,Macaca mulatta polyomavirus 1
,Cercopithecine herpesvirus 1,,Macacine alphaherpesvirus 1,,,NA,,Macacine alphaherpesvirus 1
,Cercopithecine herpesvirus 8,,Macacine betaherpesvirus 3,,,NA,,Macacine betaherpesvirus 3
,Cercopithecine herpesvirus 15,,Macacine gammaherpesvirus 4,,,NA,,Macacine gammaherpesvirus 4
,Cercopithecine herpesvirus 17,,Macacine gammaherpesvirus 5,,,NA,,Macacine gammaherpesvirus 5
Machupo virus,Machupo virus,Machupo mammarenavirus,Machupo mammarenavirus,,,NA,,Machupo mammarenavirus
,Macropodid herpesvirus 1,,Macropodid alphaherpesvirus 1,,,NA,,Macropodid alphaherpesvirus 1
,Macropodid herpesvirus 2,,Macropodid alphaherpesvirus 2,,,NA,,Macropodid alphaherpesvirus 2
Madariaga virus,,,Madariaga virus,,,NA,,Madariaga virus
,Madrid virus,Madrid orthobunyavirus,Madrid orthobunyavirus,Automatic match,,NA,,Madrid orthobunyavirus
,Main Drain virus,,Main Drain orthobunyavirus,Automatic match,,NA,,Main Drain orthobunyavirus
Maize fine streak virus,,,Maize fine streak nucleorhabdovirus,,,NA,,Maize fine streak nucleorhabdovirus
Maize Iranian mosaic virus,,,Maize Iranian mosaic nucleorhabdovirus,,,NA,,Maize Iranian mosaic nucleorhabdovirus
Maize mosaic virus,,,Maize mosaic nucleorhabdovirus,,,NA,,Maize mosaic nucleorhabdovirus
Malpais Spring virus,,,Malpais Spring vesiculovirus,,,NA,,Malpais Spring vesiculovirus
Mamastrovirus 1,Human astrovirus,Mamastrovirus 1,Mamastrovirus 1,,,NA,,Mamastrovirus 1
Mamastrovirus 10,Mink astrovirus,,Mamastrovirus 10,,,NA,,Mamastrovirus 10
Mamastrovirus 13,Ovine astrovirus,,Mamastrovirus 13,,,NA,,Mamastrovirus 13
Feline astrovirus D1,Feline astrovirus,,Mamastrovirus 2,Strain,"Feline astrovirus is now Mamastrovirus 2, 'Feline astrovirus D1' has no match in ICTV; Listed as a strain of Mamastrovirus 2 on NCBI",NA,,Mamastrovirus 2
Mamastrovirus 2,,,Mamastrovirus 2,,"Checked for duplication – data identical to Feline astrovirus D1, but K80 distance is 0.688",NA,,Mamastrovirus 2
Mamastrovirus 3,Porcine astrovirus,,Mamastrovirus 3,,,NA,,Mamastrovirus 3
California sea lion astrovirus 2,,,Mamastrovirus 4,,,NA,,Mamastrovirus 4
Astrovirus MLB1,,Mamastrovirus 6,Mamastrovirus 6,,"Astrovirus MLB1: Listed as a strain on NCBI taxonomy, confirmed for this specific accession (before it became a RefSeq) in https://data.ictvonline.org/proposals/2010.018a-cV.A.v4.Mamastrovirus.pdf",NA,,Mamastrovirus 6
,,Mamastrovirus 8,Mamastrovirus 8,Automatic match,,NA,,Mamastrovirus 8
Astrovirus VA1,,Mamastrovirus 9,Mamastrovirus 9,Strain,"Astrovirus VA1: Listed as a strain on NCBI taxonomy, confirmed for this specific accession (before it became a RefSeq) in https://data.ictvonline.org/proposals/2010.018a-cV.A.v4.Mamastrovirus.pdf",NA,,Mamastrovirus 9
,Borna disease virus,Mammalian 1 bornavirus,Mammalian 1 bornavirus,,,NA,,Mammalian 1 orthobornavirus
,,Mammalian 2 bornavirus ,Mammalian 2 bornavirus,Automatic match,,NA,,Mammalian 2 orthobornavirus
,Mammalian orthoreovirus,Mammalian orthoreovirus,Mammalian orthoreovirus,Automatic match,,NA,,Mammalian orthoreovirus
,Manzanilla virus,,Manzanilla orthobunyavirus,Automatic match,,NA,,Manzanilla orthobunyavirus
Maraba virus,Maraba virus,Maraba vesiculovirus,Maraba vesiculovirus,,,NA,,Maraba vesiculovirus
Marburg marburgvirus,Lake Victoria marburgvirus,Marburg marburgvirus,Marburg marburgvirus,,,NA,,Marburg marburgvirus
,Marituba virus,Marituba orthobunyavirus,Marituba orthobunyavirus,Automatic match,,NA,,Marituba orthobunyavirus
,Mason-Pfizer monkey virus,,Mason-Pfizer monkey virus,Automatic match,,NA,,Mason-Pfizer monkey virus
Mayaro virus,Mayaro virus,Mayaro virus ,Mayaro virus,,,NA,,Mayaro virus
Measles virus,Measles virus,Measles morbillivirus ,Measles morbillivirus,,,NA,,Measles morbillivirus
Merino Walk virus,,,Merino Walk mammarenavirus,,,NA,,Merino Walk mammarenavirus
,Hamster polyomavirus,,Mesocricetus auratus polyomavirus 1,,,NA,,Mesocricetus auratus polyomavirus 1
Middelburg virus,Middelburg virus,,Middelburg virus,,,NA,,Middelburg virus
Middle East respiratory syndrome coronavirus_camelL3,,,Middle East respiratory syndrome-related coronavirus,Strain,Added Nov2018,TRUE,Duplicate,Middle East respiratory syndrome-related coronavirus
Middle East respiratory syndrome coronavirus_camelL5,,,Middle East respiratory syndrome-related coronavirus,Strain,Added Nov2018,TRUE,Duplicate,Middle East respiratory syndrome-related coronavirus
Middle East respiratory syndrome coronavirus,,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,,,NA,,Middle East respiratory syndrome-related coronavirus
Middle East respiratory syndrome coronavirus_2012,,,Middle East respiratory syndrome-related coronavirus,,Added Nov2018,NA,,Middle East respiratory syndrome-related coronavirus
,Minatitlan virus,,Minatitlan orthobunyavirus,Automatic match,,NA,,Minatitlan orthobunyavirus
Miniopterus bat coronavirus HKU8,,,Miniopterus bat coronavirus HKU8,,,NA,,Miniopterus bat coronavirus HKU8
Miniopterus schreibersii picornavirus 1,,,Mischivirus A,,No match in ICTV taxonomy; Listed as a strain/isolate on NCBI,NA,,Mischivirus A
African bat icavirus A,,,Mischivirus C,,No match in ICTV taxonomy; Listed as a strain on NCBI,NA,,Mischivirus C
Mobala virus,Mobala virus,Mobala mammarenavirus,Mobala mammarenavirus,,,NA,,Mobala mammarenavirus
Modoc virus,Modoc virus,,Modoc virus,,,NA,,Modoc virus
Mojiang virus,,,Mojiang henipavirus,,,NA,,Mojiang henipavirus
Mokola virus,Mokola virus,Mokola lyssavirus ,Mokola lyssavirus,,,NA,,Mokola lyssavirus
,Molluscum contagiosum virus,,Molluscum contagiosum virus,Automatic match,,NA,,Molluscum contagiosum virus
,Moloney murine sarcoma virus,,Moloney murine sarcoma virus,Automatic match,,NA,,Moloney murine sarcoma virus
,Monkeypox virus,,Monkeypox virus,Automatic match,,NA,,Monkeypox virus
Montana myotis leukoencephalitis virus,Montana myotis leukoencephalitis virus,,Montana myotis leukoencephalitis virus,,,NA,,Montana myotis leukoencephalitis virus
Mopeia virus,Mopeia virus,,Mopeia mammarenavirus,,,NA,,Mopeia mammarenavirus
,Mosso das Pedras virus 78V3531,Mosso das Pedras virus,Mosso das Pedras virus,,"""78V-3531"" appears to be a strain name for this virus in some NCBI databases",NA,,Mosso das Pedras virus
,Mount Elgon bat virus,,Mount Elgon bat ledantevirus,Automatic match,,NA,,Mount Elgon bat ledantevirus
,Mouse mammary tumor virus,,Mouse mammary tumor virus,Automatic match,,NA,,Mouse mammary tumor virus
Moussa virus,,,Moussa virus,,,NA,,Moussa virus
,Mucambo virus,Mucambo virus,Mucambo virus,Automatic match,,NA,,Mucambo virus
Munia coronavirus HKU13,,,Munia coronavirus HKU13,,,NA,,Munia coronavirus HKU13
,Human papillomavirus 1,,Mupapillomavirus 1,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Mupapillomavirus 1
,Human papillomavirus 63,,Mupapillomavirus 2,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Mupapillomavirus 2
,Murid herpesvirus 1,,Murid betaherpesvirus 1,,,NA,,Murid betaherpesvirus 1
,Murid herpesvirus 2,,Murid betaherpesvirus 2,,,NA,,Murid betaherpesvirus 2
,Murid herpesvirus 4,,Murid gammaherpesvirus 4,,,NA,,Murid gammaherpesvirus 4
Murine hepatitis virus,Murine hepatitis virus,,Murine coronavirus,Merged,Several species merged into this name,NA,,Murine coronavirus
Rat coronavirus,Rat coronavirus,,Murine coronavirus,Merged,Several species merged into this name,NA,,Murine coronavirus
,Murine leukemia virus,,Murine leukemia virus,Automatic match,,NA,,Murine leukemia virus
,Murine adenovirus A,,Murine mastadenovirus A,,,NA,,Murine mastadenovirus A
,Murine adenovirus B,,Murine mastadenovirus B,,,NA,,Murine mastadenovirus B
Murine pneumonia virus,Murine pneumonia virus,,Murine orthopneumovirus,,,NA,,Murine orthopneumovirus
Sendai virus,Sendai virus,,Murine respirovirus,,,NA,,Murine respirovirus
Murray Valley encephalitis virus,Murray Valley encephalitis virus,Murray Valley encephalitis virus ,Murray Valley encephalitis virus,,,NA,,Murray Valley encephalitis virus
,Murine polyomavirus,,Mus musculus polyomavirus 1,,,NA,,Mus musculus polyomavirus 1
,Murine pneumotropic virus,,Mus musculus polyomavirus 2,,,NA,,Mus musculus polyomavirus 2
,Mustelid herpesvirus 1,,Mustelid gammaherpesvirus 1,,,NA,,Mustelid gammaherpesvirus 1
,Myxoma virus,,Myxoma virus,Automatic match,,NA,,Myxoma virus
,Human torovirus,Human torovirus,Human torovirus,Abolished in MSL2018a,,NA,,NA
,,Mammalian rubulavirus 5,Mammalian rubulavirus 5,Automatic match,,NA,,Mammalian orthorubulavirus 5
,Sathuperi virus,,Sathuperi orthobunyavirus,Merged,,NA,,Schmallenberg orthobunyavirus
,Shamonda virus,,Shamonda orthobunyavirus,Merged,,NA,,Schmallenberg orthobunyavirus
,Torque Teno virus,,NA,Split,Split into 47 new species in 9 different genera (https://data.ictvonline.org/proposals/2007.075a-xxV.v4.Anelloviridae.pdf),TRUE,See ‘Comments’ column,NA
,Human herpesvirus 6,,NA,Split,Split into 6A and 6B; Strains associated with each listed in NCBI taxonomy,TRUE,See ‘Comments’ column,NA
Aedes flavivirus,,,Aedes flavivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,African green monkey polyomavirus,,African green monkey polyomavirus,Unclassified,Abolished in 2015; Listed as unclassified on NCBI,NA,,NA
Aguacate virus,,,Aguacate virus,Unclassified,Abolished by ICTV in 1999; Listed as unclassified on NCBI,NA,,NA
Alphacoronavirus 2,,,Alphacoronavirus 2,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
,Araguari virus,,Araguari virus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,NA
