UniversalName,Strain,Reservoir,Genbank.accession,WholeGenome,Vector.borne,Vector,OtherTaxonomicInfo,Reference_Reservoir,Reference_Vector
Duck picornavirus GL/12,Duck picornavirus GL/12,Orphan,NC_023985.1,1,0,none,Unclassified,wang2014,
Dugbe orthonairovirus,Dugbe virus,Artiodactyl,NC_004159.1; NC_004158.1; NC_004157.1,1,1,tick,NA,,
Duvenhage lyssavirus,Duvenhage virus,Vespbat,NC_020810.1,1,0,none,NA,,
Eastern equine encephalitis virus,Eastern equine encephalitis virus,Passeriformes,NC_003899.1,1,1,mosquito,NA,arrigo2010,
Ectromelia virus,NA,Rodent,NC_004105.1,1,0,NA,Automatic match,,
Eggplant mottled dwarf nucleorhabdovirus,Eggplant mottled dwarf virus,Plant,NC_025389.1,1,1,leafhopper,NA,,
Eilat virus,Eilat virus,Insect,NC_018615.1,1,0,mosquito,NA,,
El Moro Canyon orthohantavirus,NA,Rodent,U26828.1; U11427.1,0,0,NA,Automatic match,,
Entebbe bat virus,Entebbe bat virus,Vespbat,NC_008718.1,1,?,unknown,NA,,
Enterovirus A,Enterovirus A71,Human,KU254596.1,1,0,none,NA,,
Enterovirus A,Simian enterovirus 19 (SV19),NonHumanPrimate,AF326754.2,1,0,none,NA,,
Enterovirus B,Human enterovirus 107,Human,AB426609.1,1,0,none,NA,,
Enterovirus B,Simian agent 5,NonHumanPrimate,AF326751.2,1,0,none,NA,,
Enterovirus C,Human poliovirus 2,Human,KJ170575.1,1,0,none,Merged,,
Enterovirus D,NA,Human,NC_001430.1,1,0,NA,NA,,
Enterovirus G,NA,Artiodactyl,NC_004441.1,1,0,NA,NA,,
Enterovirus H,NA,NonHumanPrimate,NC_003988.1,1,0,NA,NA,,
Enterovirus I,Dromedary camel enterovirus,Artiodactyl,KP345887.1,1,0,NA,Strain,,
Epizootic hemorrhagic disease virus,NA,Artiodactyl,NC_013396.1; NC_013397.1; NC_013398.1; NC_013399.1; NC_013400.1; NC_013401.1; NC_013403.1; NC_013402.1; NC_013404.1; NC_013405.1,1,1,midge,Automatic match,,
Epsilonpapillomavirus 1,NA,Artiodactyl,NC_004195.1,1,0,NA,NA,,
Equid alphaherpesvirus 1,NA,Perissodactyla,NC_001491.2,1,0,NA,NA,,
Equid alphaherpesvirus 3,NA,Perissodactyla,NC_024771.1,1,0,NA,NA,,
Equid alphaherpesvirus 4,NA,Perissodactyla,NC_001844.1,1,0,NA,NA,,
Equid alphaherpesvirus 8,NA,Perissodactyla,NC_017826.1,1,0,NA,NA,,
Equid alphaherpesvirus 9,NA,Perissodactyla,NC_011644.1,1,0,NA,NA,,
Equid gammaherpesvirus 2,NA,Perissodactyla,NC_001650.2,1,0,NA,NA,,
Equid gammaherpesvirus 5,NA,Perissodactyla,NC_026421.1,1,0,NA,NA,,
Equid gammaherpesvirus 7,NA,Perissodactyla,,,0,NA,NA,,
Equine arteritis virus,NA,Perissodactyla,NC_002532.2,1,0,NA,Automatic match,,
Equine encephalosis virus,NA,Perissodactyla,FJ183384.1; FJ183385.1; FJ183386.1; FJ183387.1; FJ183388.1; FJ183389.1; FJ183390.1; FJ183391.1; FJ183392.1; FJ183393.1,1,1,midge,Automatic match,,
Equine foamy virus,NA,Perissodactyla,NC_002201.1,1,0,NA,Automatic match,,
Equine hepacivirus,Equine hepacivirus JPN3/JAPAN/2013,Perissodactyla,NC_024889.1,1,0,none,Unclassified; Strain,,
Equine infectious anemia virus,NA,Perissodactyla,NC_001450.1,1,1,DIPTERA,Automatic match,,
Equine mastadenovirus A,NA,Perissodactyla,NC_030792.1,1,0,NA,NA,,
Equine mastadenovirus B,NA,Perissodactyla,NC_027705.1,1,0,NA,NA,,
Equine rhinitis A virus,NA,Perissodactyla,NC_003982.1,1,0,NA,Automatic match,,
Equine torovirus,NA,Perissodactyla,MG996765.1,1,0,NA,Automatic match,,
Erbovirus A,NA,Perissodactyla,NC_003983.1,1,0,NA,NA,,
Eubenangee virus,NA,NA,JQ070376.1; JQ070377.1; JQ070378.1; JQ070379.1; JQ070380.1; JQ070381.1; JQ070382.1; JQ070383.1; JQ070384.1; JQ070385.1,1,1,midge,Automatic match,,
European bat 1 lyssavirus,European bat lyssavirus 1,Vespbat,NC_009527.1,1,0,none,NA,,
European bat 2 lyssavirus,European bat lyssavirus 2,Vespbat,NC_009528.2,1,0,none,NA,,
European brown hare syndrome virus,European brown hare syndrome virus,Lagomorph,NC_002615.1,1,0,none,NA,,
Everglades virus,NA,Rodent,AF075251.1,1,1,mosquito,Automatic match,,
Eyach virus,NA,Orphan,NC_003696.1; NC_003697.1; NC_003698.1; NC_003699.1; NC_003700.1; NC_003701.1; NC_003702.1; NC_003703.1; NC_003704.1; NC_003705.1; NC_003706.1; NC_003707.1,1,1,tick,Automatic match,,
Farmington virus,Farmington virus,Orphan,NC_025253.1,1,1,unknown,Unclassified,travassosdarosa2002,
Felid alphaherpesvirus 1,NA,Carnivore,NC_013590.2,1,0,NA,NA,,
Feline astrovirus 2,Feline astrovirus 2,Carnivore,NC_022249.1,1,0,none,Unclassified,,
Feline calicivirus,Feline calicivirus,Carnivore,NC_001481.2,1,0,none,NA,,
Feline foamy virus,NA,Carnivore,NC_001871.1,1,0,NA,Automatic match,,
Feline immunodeficiency virus,NA,Carnivore,NC_001482.1,1,0,NA,Automatic match,,
Feline leukemia virus,NA,Carnivore,NC_001940.1,1,0,NA,Automatic match,,
Feline morbillivirus,Feline morbillivirus,Carnivore,NC_025264.1,1,0,none,NA,,
Feline picornavirus,Feline picornavirus,Carnivore,NC_016156.1,1,0,none,Unclassified,,
Ferak orthoferavirus,Ferak virus,Insect,KP710246.1; KP710264.1; KP710267.1,1,0,mosquito,NA,,
Ferret kobuvirus,Ferret kobuvirus,Carnivore,KF006985.1,1,0,none,Unclassified,,
Fikirini ledantevirus,Fikirini bat rhabdovirus,Pterobat,NC_025341.1,1,0,none,NA,,
Flexal mammarenavirus,Flexal virus,Rodent,NC_010759.1; NC_010757.1,1,0,none,NA,,
Foot-and-mouth disease virus,Foot-and-mouth disease virus - type O,Artiodactyl,NC_004004.1,1,0,none,NA,,
Fort Morgan virus,Fort Morgan virus,Passeriformes,NC_013528.1,1,1,cimicid,Merged,allison2015,
Gairo mammarenavirus,Gairo virus,Rodent,NC_026247.1; NC_026246.1,1,0,none,NA,,
Gallivirus Pf-CHK1/GV,Gallivirus Pf-CHK1/GV,Orphan,NC_028964.1,1,0,none,Unclassified,boros2016,
Gammapapillomavirus 1,Human papillomavirus 4,Human,NC_001457.1,1,0,NA,NA,,
Gammapapillomavirus 2,NA,Human,NC_001690.1,1,0,NA,NA,,
Gammapapillomavirus 3,NA,Human,NC_001691.1,1,0,NA,NA,,
Gammapapillomavirus 4,NA,Human,NC_001693.1,1,0,NA,NA,,
Gammapapillomavirus 5,NA,Human,NC_010329.1,1,0,NA,NA,,
Gbagroube virus,Gbagroube virus,Rodent,GU830848.1,0,0,none,Unclassified,,
Getah virus,Getah virus,Orphan,NC_006558.1,1,1,mosquito,NA,,
Ghanaian bat henipavirus,Bat Paramyxovirus Eid_hel,Pterobat,NC_025256.1,1,0,none,NA,,
Gibbon ape leukemia virus,NA,NonHumanPrimate,NC_001885.3,1,0,NA,Automatic match,,
Goatpox virus,NA,Artiodactyl,NC_004003.1,1,0,NA,Automatic match,,
Alethinophid 1 reptarenavirus,Golden Gate virus,Reptile,NC_018482.1; NC_018483.1,1,0,none,NA,,
Goose astrovirus,Goose astrovirus,Orphan,NC_034567.1,1,0,none,Unclassified,zhang2017,
Goose calicivirus,Goose calicivirus,Orphan,NC_024078.1,1,0,none,Unclassified,liao2014a,
Goose paramyxovirus SF02,Goose paramyxovirus SF02,,NC_005036.1,1,0,none,Unclassified,,
Gorilline gammaherpesvirus 1,NA,NonHumanPrimate,AJ581752.1,0,0,NA,NA,,
Gouleako goukovirus,Gouleako virus,Insect,HQ541738.1; HQ541737.1; HQ541736.1,1,0,mosquito,NA,,
Pike fry sprivivirus,Grass carp rhabdovirus V76,Fish,NC_025376.1,1,0,none,Unclassified,,
Great Island virus,NA,Charadriiformes,NC_014522.1; NC_014523.1; NC_014524.1; NC_014525.1; NC_014526.1; NC_014527.1; NC_014528.1; NC_014529.1; NC_014530.1; NC_014531.1,1,1,tick,Automatic match,nunn2005,
Ground squirrel hepatitis virus,NA,Rodent,NC_001484.1,1,0,NA,Strain,,
Groundnut bud necrosis orthotospovirus,Groundnut bud necrosis virus,Plant,NC_003614.1; NC_003620.1; NC_003619.1,1,1,thrip,NA,,
Guama orthobunyavirus,NA,NA,KP792666.1; KP792665.1; KP792664.1,1,1,mosquito,Automatic match,,
Guanarito mammarenavirus,Guanarito virus,Rodent,NC_005082.1; NC_005077.1,1,0,none,NA,,
Guaroa orthobunyavirus,NA,Orphan,NC_034487.1; NC_034506.1; NC_034486.1,1,1,mosquito,Automatic match,,
Guinea pig type-C oncovirus,NA,NA,,,NA,NA,Automatic match,,
Hantaan orthohantavirus,Hantaan virus,Rodent,NC_005218.1,1,0,none,NA,,
Hare fibroma virus,NA,Lagomorph,,,0,NA,Automatic match,,
Harkavirus A,Falcovirus A1,Orphan,NC_026921.1,1,0,none,NA,boros2015,
Heartland virus,Heartland virus,Orphan,NC_024495.1; NC_024494.1; NC_024496.1,1,1,tick,Unclassified,,
Hedgehog coronavirus 1,Betacoronavirus Erinaceus,Erinaceidae,NC_022643.1,1,0,none,NA,,
Hendra henipavirus,Hendra virus,Pterobat,NC_001906.3,1,0,none,NA,,
Hepacivirus C,Hepatitis C virus,Human,NC_004102.1,1,0,none,NA,,
Hepatitis B virus,Hepatitis B virus genotype A,Human,AJ344115.1,1,0,NA,Automatic match,,
Hepatitis B virus,Hepatitis B virus isolate CHIMP_2,NonHumanPrimate,AF242585.1,1,0,NA,NA,,
Hepatitis delta virus,NA,Human,NC_001653.2,1,0,NA,Automatic match,,
Hepatovirus A,Hepatitis A virus (wild type),Human,NC_001489,1,0,NA,NA,,
Hepatovirus A,Simian hepatitis A virus,NonHumanPrimate,EU140838.1,1,0,NA,NA,,
Hepatovirus B,Phopivirus,Carnivore,NC_027818.1,1,0,none,NA,,
Herbert herbevirus,Herbert virus,Insect,JQ659256.1; JQ659257.1; JQ659258.1,1,0,mosquito,NA,,
Highlands J virus,Highlands J virus,Passeriformes,NC_012561.1,1,1,mosquito,NA,allison2015,
Hippotragine gammaherpesvirus 1,NA,Artiodactyl,,,0,NA,NA,,
Hirame novirhabdovirus,Hirame rhabdovirus,Fish,NC_005093.1,1,0,none,NA,,
HMO Astrovirus A,HMO Astrovirus A,Human,NC_013443.1,1,0,none,Unclassified,,
Human alphaherpesvirus 1,NA,Human,NC_001806.2,1,0,NA,NA,,
Human alphaherpesvirus 2,NA,Human,NC_001798.2,1,0,NA,NA,,
Human alphaherpesvirus 3,NA,Human,NC_001348.1,1,0,NA,NA,,
Human betaherpesvirus 5,NA,Human,NC_006273.2,1,0,NA,NA,,
Human betaherpesvirus 7,NA,Human,NC_001716.2,1,0,NA,NA,,
Human coronavirus 229E,Human coronavirus 229E,Human,NC_002645.1,1,0,none,NA,,
Human coronavirus 229E,Alpaca respiratory coronavirus,Artiodactyl,JQ410000.1,1,0,NA,Strain,,
Human coronavirus 229E,Camel alphacoronavirus,Artiodactyl,KT368910.1,1,0,NA,Strain,,
Human coronavirus HKU1,Human coronavirus HKU1,Human,NC_006577.2,1,0,none,NA,,
Human coronavirus NL63,Human coronavirus NL63,Human,NC_005831.2,1,0,none,NA,,
Human gammaherpesvirus 4,NA,Human,NC_007605.1,1,0,NA,NA,,
Human gammaherpesvirus 8,NA,Human,NC_009333.1,1,0,NA,NA,,
Human immunodeficiency virus 1,NA,Human,NC_001802.1,1,0,NA,Automatic match,,
Human immunodeficiency virus 2,NA,Human,NC_001722.1,1,0,NA,Automatic match,,
Human mastadenovirus A,NA,Human,AC_000005.1,1,0,NA,NA,,
Human mastadenovirus B,Human adenovirus 35,Human,AC_000019.1,1,0,NA,NA,,
Human mastadenovirus B,Simian adenovirus 21,NonHumanPrimate,AC_000010.1,1,0,NA,NA,,
Human mastadenovirus C,Human adenovirus 1,Human,AC_000017.1,1,0,NA,NA,,
Human mastadenovirus C,Human mastadenovirus C isolate gorilla 6736,NonHumanPrimate,KM659160.1,0,0,NA,NA,,
Human mastadenovirus D,NA,Human,NC_010956.1,1,0,NA,NA,,
Human mastadenovirus E,Human adenovirus 4,Human,NC_003266.2,1,0,NA,NA,,
Human mastadenovirus E,Simian adenovirus 25,NonHumanPrimate,AC_000011.1,1,0,NA,NA,,
Human mastadenovirus F,NA,Human,NC_001454.1,1,0,NA,NA,,
Human metapneumovirus,Human metapneumovirus,Human,NC_004148.2,1,0,none,NA,,
Human orthopneumovirus,Human respiratory syncytial virus,Human,NC_001781.1,1,0,none,NA,,
Human picobirnavirus,NA,Orphan,NC_007026.1; NC_007027.1,1,0,NA,Automatic match,,
Human polyomavirus 1,NA,Human,NC_001538.1,1,0,NA,NA,,
Human polyomavirus 2,NA,Human,NC_001699.1,1,0,NA,NA,,
Human respirovirus 1,Human parainfluenza virus 1,Human,NC_003461.1,1,0,none,NA,,
Human respirovirus 3,Human parainfluenza virus 3,Human,NC_001796.2,1,0,none,NA,,
Human rubulavirus 2,Human parainfluenza virus 2,Human,NC_003443.1,1,0,none,NA,,
Human rubulavirus 4,NA,Human,NC_021928.1,1,0,NA,NA,,
Human torovirus,NA,Human,,,0,NA,Automatic match,,
Ia io picornavirus 1,Ia io picornavirus 1,Vespbat,JQ814852.1,1,0,none,Unclassified,,
Ikoma lyssavirus,Ikoma lyssavirus,Orphan,NC_018629.1,1,0,none,NA,,
Ilheus virus,Ilheus virus,Orphan,NC_009028.2,1,1,mosquito,NA,shope2003,
Impatiens necrotic spot orthotospovirus,Impatiens necrotic spot virus,Plant,NC_003625.1; NC_003616.1; NC_003624.1,1,1,thrip,NA,,
Indiana vesiculovirus,Vesicular stomatitis Indiana virus,Artiodactyl,NC_001560.1,1,1,sandfly,NA,,
Influenza A virus,A/swine/Alberta/SD0154/2016(H1N1),Artiodactyl,MF768520.1; MF768521.1; MF768522.1; MF768523.1; MF768524.1; MF768525.1; MF768526.1; MF768527.1,1,0,NA,Automatic match,,
Influenza A virus,A/canine/Florida/61156-2/2006(H3N8) (E2/egg passage),Carnivore,CY067523.1; CY067524.1; CY067525.1; CY067526.1; CY067527.1; CY067528.1; CY067529.1; CY067530.1,1,0,NA,Automatic match,,
Influenza A virus,A/Alabama/01/2017(H3N2),Human,CY216614.1; CY216615.1; CY216616.1; CY216617.1; CY216618.1; CY216619.1; CY216620.1; CY216621.1,1,0,NA,Automatic match,,
Influenza A virus,A/black duck/Tennessee/17OS0306/2017(H5N1),Anseriformes,MG280170.1; MG280461.1; MG279954.1; MG279989.1; MG279853.1; MG279888.1; MG279861.1; MG280440.1,1,0,NA,Automatic match,Webster1992,
Influenza A virus,A/black-tailed gull/Weihai/115/2016(H13N2),Charadriiformes,MF461177.1; MF461178.1; MF461179.1; MF461180.1; MF461181.1; MF461182.1; MF461183.1; MF461184.1,1,0,NA,Automatic match,Webster1992,
Influenza B virus,B/Alaska/06/2018,Human,MH245265.1; MH245264.1; MH245263.1; MH245262.1; MH245261.1; MH245260.1; MH245259.1; MH245258.1,1,0,NA,Automatic match,,
Influenza C virus,C/Victoria/2/2012,Human,KM504277.1; KM504278.1; KM504279.1; KM504280.1; KM504281.1; KM504282.1; KM504283.1,1,0,NA,Automatic match,,
Iotapapillomavirus 1,NA,Rodent,NC_001605.1,1,0,NA,NA,,
Ippy mammarenavirus,Ippy virus,Rodent,NC_007906.1; NC_007905.1,1,0,none,NA,,
Irkut lyssavirus,Irkut virus,Vespbat,NC_020809.1,1,0,none,NA,,
Isfahan vesiculovirus,Isfahan virus,Rodent,NC_020806.1,1,1,sandfly,NA,,
J-virus,J-virus,Rodent,NC_007454.1,1,0,none,Unclassified,,
Jaagsiekte sheep retrovirus,NA,Artiodactyl,NC_001494.1,1,0,NA,Automatic match,,
Japanese encephalitis virus,Japanese encephalitis virus,Artiodactyl,GQ902058.1,1,1,mosquito,NA,lord2015,
Japanese encephalitis virus,Avian isolate,Pelecaniformes,,,1,mosquito,,weaver2004,
Jonchet orthojonvirus,Jonchet virus,Insect,KP710232.1; KP710240.1; KP710243.1,1,0,mosquito,NA,,
Jugra virus,NA,Orphan,NC_033699.1,1,1,mosquito,Automatic match,,
Junín mammarenavirus,Junin arenavirus,Rodent,NC_005080.1; NC_005081.1,1,0,none,NA,,
Jurona vesiculovirus,Jurona virus,Orphan,NC_025392.1,1,1,mosquito,NA,,
Jutiapa virus,Jutiapa virus,Rodent,NC_026620.1,1,0,none,NA,,
Kaeng Khoi orthobunyavirus,NA,Orphan,NC_034499.1; NC_034500.1; NC_034501.1,1,?,unknown,Automatic match,,
Kairi orthobunyavirus,NA,Orphan,KR260738.1; KR260739.1; KR260740.1,1,1,mosquito,Automatic match,,
Kama virus,Kama virus,Orphan,NC_023439.1,1,1,tick,Unclassified,lvov2015,
Kamiti River virus,Kamiti River virus,Insect,NC_005064.1,1,0,mosquito,Unclassified,,
Kappapapillomavirus 1,NA,Lagomorph,NC_002232.1,1,0,NA,NA,,
Kappapapillomavirus 2,NA,Lagomorph,NC_001541.1,1,0,NA,NA,,
Kasokero orthonairovirus,NA,Pterobat,NC_036636.1; NC_029933.1; NC_029932.1,1,?,unknown,Automatic match,,
Kedougou virus,Kedougou virus,Orphan,NC_012533.1,1,1,mosquito,NA,,
Kern Canyon ledantevirus,NA,Vespbat,NC_034451.1,1,?,Unknown,Automatic match,,
Keuraliba ledantevirus,NA,Rodent,NC_034540.1,1,?,Unknown,Automatic match,,
Khabarovsk orthohantavirus,NA,Rodent,NC_034519.1; NC_034518.1; NC_034527.1,1,0,NA,Merged,,
Khujand lyssavirus,Khujand virus,Vespbat,NC_025385.1,1,0,none,NA,,
Kimberley ephemerovirus,Kimberley virus,Artiodactyl,NC_025396.1,1,1,unknown,NA,,
Kokobera virus,Kokobera virus,Diprotodontia,NC_032088.1,1,1,mosquito,NA,,
Kolente ledantevirus,Kolente virus,Orphan,NC_025342.1,1,1,tick,NA,,
Koongol orthobunyavirus,NA,NA,KP792669.1; KP792668.1; KP792667.1,1,1,mosquito,Automatic match,,
Kotonkan ephemerovirus,Kotonkan virus,Orphan,NC_017714.1,1,1,midge,NA,,
Koutango virus,NA,Rodent,EU082200.2,1,1,mosquito,Automatic match,,
Kyasanur Forest disease virus,Kyasanur forest disease virus,NonHumanPrimate,JF416960.1,1,1,tick,NA,,
Lactate dehydrogenase-elevating virus,NA,Rodent,NC_001639.1,1,0,NA,Automatic match,,
Lagos bat lyssavirus,Lagos bat virus,Pterobat,NC_020807.1,1,0,none,NA,,
Laguna Negra orthohantavirus,NA,Rodent,AF005728.1; AF005727.1,0,0,NA,Merged,,
Lambdapapillomavirus 1,NA,Carnivore,NC_004765.1,1,0,NA,NA,,
Lambdapapillomavirus 2,NA,Carnivore,NC_001619.1,1,0,NA,NA,,
Langat virus,Langat virus,Orphan,NC_003690.1,1,1,tick,NA,,
Langur virus,NA,NonHumanPrimate,,,0,NA,Automatic match,,
Lassa mammarenavirus,Lassa virus,Rodent,NC_004297.1; NC_004296.1,1,0,none,NA,,
Latino mammarenavirus,Latino virus,Rodent,NC_010760.1; NC_010758.1,1,0,none,NA,,
Lebombo virus,NA,Orphan,JQ610665.1; JQ610666.1; JQ610667.1; JQ610668.1; JQ610669.1; JQ610670.1; JQ610671.1; JQ610672.1; JQ610673.1; JQ610674.1,1,1,midge,Automatic match,,
Leopards Hill virus,Leopards Hill virus,Pterobat,NC_025831.1; NC_025832.1; NC_025833.1,1,0,none,Unclassified,,
Lesavirus 1,Lesavirus 1,NonHumanPrimate,NC_026315.1,1,0,none,Unclassified,,
Lesavirus 2,Lesavirus 2,NonHumanPrimate,NC_026316.1,1,0,none,Unclassified,,
Lettuce necrotic yellows cytorhabdovirus,Lettuce necrotic yellows virus,Plant,NC_007642.1,1,1,aphid,NA,,
Lettuce yellow mottle cytorhabdovirus,Lettuce yellow mottle virus,Plant,NC_011532.1,1,1,unknown,NA,,
Limnipivirus C,Fathead minnow picornavirus,Fish,NC_023437.1,1,0,none,NA,,
Lloviu cuevavirus,Lloviu cuevavirus,Vespbat,NC_016144.1,1,0,none,NA,,
Loei River mammarenavirus,Loie River virus,Rodent,KC669693.1; KC669698.1,1,0,none,NA,,
Lone Star virus,Lone Star virus,Orphan,NC_021242.1; NC_021243.1; NC_021244.1,1,1,tick,Unclassified,,
Long Island tick rhabdovirus,Long Island tick rhabdovirus,Orphan,NC_025340.1,1,1,tick,Unclassified,,
Louping ill virus,Louping ill virus,Artiodactyl,NC_001809.1,1,1,tick,NA,,
Lujo mammarenavirus,Lujo virus,Rodent,NC_012777.1; NC_012776.1,1,0,none,NA,,
Lumpy skin disease virus,NA,Artiodactyl,NC_003027.1,1,0,NA,Automatic match,,
Luna mammarenavirus,Luna virus,Rodent,NC_016153.1; NC_016152.1,1,0,none,NA,,
Lunk mammarenavirus,Lunk virus NKS-1,Rodent,NC_018711.1; NC_018710.1,1,0,none,NA,,
Lymphocytic choriomeningitis mammarenavirus,Lymphocytic choriomeningitis virus,Rodent,NC_004291.1; NC_004294.1,1,0,none,NA,,
Lyssavirus Ozernoe,Lyssavirus Ozernoe,NA,NC_025408.1,1,0,none,Unclassified,,
Macaca mulatta polyomavirus 1,NA,NonHumanPrimate,NC_001669.1,1,0,NA,NA,,
Macacine alphaherpesvirus 1,NA,NonHumanPrimate,NC_004812.1,1,0,NA,NA,,
Macacine betaherpesvirus 3,NA,NonHumanPrimate,NC_006150.1,1,0,NA,NA,,
Macacine gammaherpesvirus 4,NA,NonHumanPrimate,NC_006146.1,1,0,NA,NA,,
Macacine gammaherpesvirus 5,NA,NonHumanPrimate,NC_003401.1,1,0,NA,NA,,
Macaque simian foamy virus,NA,NonHumanPrimate,NC_010819.1,1,0,NA,Automatic match,,
Machupo mammarenavirus,Machupo virus,Rodent,NC_005079.1; NC_005078.1,1,0,none,NA,,
Macropodid alphaherpesvirus 1,NA,Macropod,NC_029132.1,1,0,NA,NA,,
Macropodid alphaherpesvirus 2,NA,Macropod,AF061755.1,0,0,NA,NA,,
Madariaga virus,Madariaga virus,Rodent,NC_023812.1,1,1,unknown,NA,arrigo2010; avittor2016,
Madrid orthobunyavirus,NA,NA,NC_034497.1; NC_034505.1; NC_034498.1,1,1,mosquito,Automatic match,,
Magpie-robin coronavirus HKU18,Magpie-robin coronavirus HKU18,Orphan,NC_016993.1,1,0,none,Unclassified,woo2012a,
Main Drain orthobunyavirus,NA,Lagomorph,MH484309.1; MH484310.1; MH484311.1,1,1,midge,Automatic match,,
Maize fine streak nucleorhabdovirus,Maize fine streak virus,Plant,NC_005974.1,1,1,leafhopper,NA,,
Maize Iranian mosaic nucleorhabdovirus,Maize Iranian mosaic virus,Plant,NC_036390.1,1,1,planthopper,NA,,
Maize mosaic nucleorhabdovirus,Maize mosaic virus,Plant,NC_005975.1,1,1,planthopper,NA,,
Malakal virus,Malakal virus,Orphan,NC_025400.1,1,1,mosquito,Unclassified,,
Malpais Spring vesiculovirus,Malpais Spring virus,Orphan,NC_025364.1,1,1,mosquito,NA,,
Malsoor virus,Malsoor virus,Pterobat,,,?,unknown,Unclassified,,
Mamastrovirus 1,Mamastrovirus 1,Human,NC_030922.1,1,0,none,NA,,
Mamastrovirus 10,Mamastrovirus 10,Carnivore,NC_004579.1,1,0,none,NA,,
Mamastrovirus 13,Mamastrovirus 13,Artiodactyl,NC_002469.1,1,0,none,NA,,
Mamastrovirus 2,Mamastrovirus 2,Carnivore,NC_024701.1,1,0,none,NA,,
Mamastrovirus 3,Mamastrovirus 3,Artiodactyl,NC_025379.1,1,0,none,NA,,
Mamastrovirus 6,Astrovirus MLB1,Human,NC_011400.1,1,0,none,NA,,
Mamastrovirus 9,Astrovirus VA1,Human,NC_013060.1,1,0,none,Strain,,
Mammalian 1 bornavirus,NA,Soricomorph,NC_001607.1,1,0,NA,NA,,
Mammalian orthoreovirus,NA,MULTIPLE,,,0,NA,Automatic match,,
Mammalian rubulavirus 5,Parainfluenza virus 5,Carnivore,NC_006430.1,1,0,none,NA,,
Manzanilla orthobunyavirus,NA,NA,NC_024076.1; NC_024074.1; NC_024075.1,1,1,mosquito,Automatic match,,
Maprik virus,Maprik virus,Orphan,NC_026281.1; NC_026283.1; NC_026282.1,1,1,mosquito,Unclassified,,
Mapuera rubulavirus,Mapuera virus,Vespbat,NC_009489.1,1,0,none,NA,,
Maraba vesiculovirus,Maraba virus,Orphan,NC_025255.1,1,1,sandfly,NA,,
Marburg marburgvirus,Marburg marburgvirus,Pterobat,NC_001608.3,1,0,none,NA,,
Marituba orthobunyavirus,NA,Orphan,NC_034495.1; NC_034504.1; NC_034496.1,1,1,mosquito,Automatic match,,
Mason-Pfizer monkey virus,NA,NonHumanPrimate,NC_001550.1,1,0,NA,Automatic match,,
Mayaro virus,Mayaro virus,Orphan,NC_003417.1,1,1,mosquito,NA,,
Measles morbillivirus,Measles virus,Human,NC_001498.1,1,0,none,NA,,
Melon yellow spot virus,Melon yellow spot virus,Plant,NC_008306.1; NC_008307.1; NC_008300.1,1,1,thrip,Unclassified,,
Menangle rubulavirus,Menangle virus,Pterobat,NC_007620.1,1,0,none,NA,,
Menekre virus,Menekre virus,Rodent,GU830862.1,0,0,none,Unclassified,,
Mercadeo virus,Mercadeo virus,Insect,NC_027819.1,1,0,mosquito,Unclassified,,
Merino Walk mammarenavirus,Merino Walk virus,Rodent,NC_023763.1; NC_023764.1,1,0,none,NA,,
Mesocricetus auratus polyomavirus 1,NA,Rodent,NC_001663.2,1,0,NA,NA,,
Middelburg virus,Middelburg virus,Orphan,NC_024887.1,1,1,mosquito,NA,,
Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome coronavirus,Orphan,NC_019843.3,1,0,NA,NA,,
Minatitlan orthobunyavirus,NA,NA,,,1,mosquito,Automatic match,,
Miniopterus bat coronavirus HKU8,Miniopterus bat coronavirus HKU8,Vespbat,NC_010438.1,1,0,none,NA,,
Mink calicivirus,Mink calicivirus,Carnivore,NC_019712.1,1,0,none,Unclassified,,
Mischivirus A,Miniopterus schreibersii picornavirus 1,Vespbat,NC_034381.1,1,0,none,NA,,
Mischivirus C,African bat icavirus A,Pterobat,NC_026470.1,1,0,none,NA,,
Mobala mammarenavirus,Mobala virus,Rodent,NC_007904.1; NC_007903.1,1,0,none,NA,,
Modoc virus,Modoc virus,Rodent,NC_003635.1,1,0,none,NA,,
Mojiang henipavirus,Mojiang virus,Rodent,NC_025352.1,1,0,none,NA,,
Mokola lyssavirus,Mokola virus,Orphan,NC_006429.1,1,0,none,NA,,
Molluscum contagiosum virus,NA,Human,NC_001731.1,1,0,NA,Automatic match,,
Moloney murine sarcoma virus,NA,Rodent,NC_001502.1,1,0,NA,Automatic match,,
Monkeypox virus,NA,Rodent,NC_003310.1,1,0,NA,Automatic match,,
Montana myotis leukoencephalitis virus,Montana myotis leukoencephalitis virus,Vespbat,NC_004119.1,1,0,none,NA,,
Mopeia mammarenavirus,Mopeia virus,Rodent,NC_006574.1; NC_006575.1,1,0,none,NA,,
Morogoro mammarenavirus,Morogoro virus,Rodent,NC_013058.1; NC_013057.1,1,0,none,Unclassified,,
Mossman virus,Mossman virus,Rodent,NC_005339.1,1,0,none,Unclassified,,
Mosso das Pedras virus,NA,Orphan,AF075257.1,1,1,mosquito,NA,,
Mount Elgon bat ledantevirus,NA,Orphan,NC_034545.1,1,?,unknown,Automatic match,,
Mouse astrovirus M-52/USA/2008,Mouse astrovirus M-52/USA/2008,Rodent,NC_015935.1,1,0,none,Unclassified,,
